Unnamed: 0,property_name,per_sqft,bedroom,bathroom,configuration,area,area_type,floor_number,facing,age_possession,location,property_type,price_cr,Luxury_score,society_encoded,sector_encoded
115,Sector 37D,15440.0,3,3,3,2623.0,Super Built-up,3.0,Unknown,Under Construction,Signature Global De Luxe DXP,Flat,4.05,0,4.078,2.6355
116,Sector 108,18572.0,3,3,3,2423.0,Super Built-up,0.0,East,Ready To Move,Sobha City,Flat,4.5,0,4.504222222222222,4.32938775510204
117,Sector 88A,11014.0,2,2,2,1498.0,Super Built-up,0.0,North-East,Ready To Move,Godrej Icon,Flat,1.65,0,2.475,2.35
118,Sector 47,23899.0,4,6,4,3125.0,Super Built-up,20.0,Unknown,Ready To Move,Bestech Park View Spa,Flat,7.47,0,6.3740000000000006,6.4425
119,Sector 1A IMT Manesar,7859.0,3,4,3,1845.0,Super Built-up,20.0,East,Ready To Move,DLF Express Greens,Flat,1.45,6,1.472,1.472
120,Sector 60,19804.0,3,4,3,2045.0,Super Built-up,5.0,East,Ready To Move,Ireo Skyon,Flat,4.05,0,4.565,4.679047619047619
121,Sector 104,14268.0,3,3,3,1689.0,Super Built-up,36.0,Unknown,Ready To Move,Hero Homes,Flat,2.41,0,2.0712244897959184,2.838395061728395
122,Sector 62,25706.0,4,4,4,3890.0,Super Built-up,27.0,Unknown,Ready To Move,Pioneer Urban Presidia,Flat,10.0,25,9.366666666666667,7.19
123,DLF Phase 3,16667.0,4,4,4,4500.0,Carpet,2.0,Unknown,Ready To Move,DLF Floors Phase 3,Flat,7.5,0,7.5,10.885384615384616
124,Sector 67,16202.0,3,4,3,1975.0,Super Built-up,5.0,Unknown,Ready To Move,Bestech Park View Spa Next,Flat,3.2,0,3.270833333333333,4.372857142857143
125,Sector 85,11503.0,3,4,3,2408.0,Super Built-up,0.0,East,Ready To Move,SS The Leaf,Flat,2.77,6,3.17,2.713055555555556
126,Sector 79,13333.0,3,3,3,1500.0,Built-up,0.0,North,Under Construction,M3M Antalya Hills,Flat,2.0,17,1.875,2.543333333333333
127,Sector 67,19488.0,4,4,4,3130.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo Victory Valley,Flat,6.1,0,4.716923076923077,4.372857142857143
128,Sector 104,12139.0,3,3,3,2290.0,Super Built-up,0.0,North-East,Ready To Move,ATS Triumph,Flat,2.78,0,3.817222222222222,2.838395061728395
129,Sector 108,22193.0,3,5,3,2343.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,5.2,0,4.504222222222222,4.32938775510204
130,Sector 112,13009.0,3,4,3,2575.0,Super Built-up,24.0,Unknown,Ready To Move,Tata Gurgaon Gateway,Flat,3.35,0,3.09375,5.9
131,Sector 104,14326.0,3,4,3,2450.0,Super Built-up,0.0,East,Ready To Move,Puri Emerald Bay,Flat,3.51,0,3.359166666666667,2.838395061728395
132,DLF Phase 3,15961.0,4,4,4,2412.0,Super Built-up,0.0,North,Ready To Move,Independent Floor at DLF City,Flat,3.85,6,3.85,10.885384615384616
133,sector 58,20846.0,2,2,2,1631.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo The Grand Arch,Flat,3.4,0,5.483333333333333,5.483333333333333
134,Sector 104,14209.0,3,3,3,1689.0,Super Built-up,0.0,North,Ready To Move,Hero Homes,Flat,2.4,0,2.0712244897959184,2.838395061728395
135,Sector 85,12001.0,3,4,3,2408.0,Super Built-up,8.0,East,Ready To Move,SS The Leaf,Flat,2.89,0,3.17,2.713055555555556
136,Sector 85,12446.0,4,5,4,2812.0,Super Built-up,6.0,East,Ready To Move,SS The Leaf,Flat,3.5,0,3.17,2.713055555555556
137,Sector 62,23731.0,5,5,5,4850.0,Super Built-up,0.0,North,Ready To Move,Pioneer Urban Presidia,Flat,11.51,6,9.366666666666667,7.19
138,Sector 79,14170.0,2,2,2,1235.0,Super Built-up,0.0,Unknown,Under Construction,M3M Antalya Hills,Flat,1.75,8,1.875,2.543333333333333
139,Sector 65,18018.0,3,3,3,1887.0,Super Built-up,27.0,Unknown,Ready To Move,M3M Heights,Flat,3.4,0,3.0024,8.432784810126583
140,Sector 67,17793.0,3,3,3,2411.0,Super Built-up,0.0,East,Ready To Move,Ireo Victory Valley,Flat,4.29,0,4.716923076923077,4.372857142857143
141,Gwal Pahari,12237.0,3,3,3,1430.0,Carpet,0.0,Unknown,Ready To Move,Suncity Vatsal Valley,Flat,1.75,0,1.668,4.98
142,Sector 67,20182.0,3,3,3,2527.0,Super Built-up,6.0,Unknown,Ready To Move,Ireo Victory Valley,Flat,5.1,0,4.716923076923077,4.372857142857143
143,Sector 67,19829.0,3,4,3,2698.0,Super Built-up,6.0,Unknown,Ready To Move,Ireo Victory Valley,Flat,5.35,0,4.716923076923077,4.372857142857143
144,Sector 111,17509.0,4,4,4,2570.0,Super Built-up,32.0,Unknown,Under Construction,M3M Crown,Flat,4.5,0,4.626666666666666,5.433
145,Sector 62,27027.0,3,4,3,2590.0,Carpet,0.0,Unknown,Ready To Move,Pioneer Urban Presidia,Flat,7.0,6,9.366666666666667,7.19
146,Sector 82,10904.0,3,3,3,1880.0,Super Built-up,0.0,East,Ready To Move,Vatika The Seven Lamps,Flat,2.05,19,2.0733333333333333,5.451621621621622
147,Sector 102,12000.0,3,4,3,2000.0,Super Built-up,8.0,North-East,Ready To Move,Emaar Imperial Gardens,Flat,2.4,6,2.443,2.667326732673267
148,Sector 65,19129.0,2,2,2,1516.0,Super Built-up,7.0,Unknown,Ready To Move,M3M Heights,Flat,2.9,0,3.0024,8.432784810126583
149,Sector 50,19318.0,4,4,4,2200.0,Super Built-up,0.0,Unknown,Ready To Move,Eros Wembley Estate,Flat,4.25,0,4.25,10.175
150,Sector 82,10927.0,4,5,4,2425.0,Super Built-up,0.0,North-East,Ready To Move,Vatika The Seven Lamps,Flat,2.65,6,2.0733333333333333,5.451621621621622
151,Sector 63A,23023.0,3,4,3,2858.0,Built-up,0.0,North-East,Under Construction,TARC Ishva,Flat,6.58,8,6.66,4.715333333333334
152,Sector 92,12916.0,3,2,3,1200.0,Super Built-up,0.0,Unknown,Ready To Move,Signature Global City 92,Flat,1.45,0,1.275,2.1133333333333333
153,Sector 82A,16937.0,3,4,3,2096.0,Super Built-up,7.0,North-East,Ready To Move,DLF The Primus,Flat,3.55,6,3.5392857142857146,3.481333333333333
154,Nirvana Country,14863.0,3,2,3,1682.0,Super Built-up,0.0,Unknown,Ready To Move,Unitech Fresco,Flat,2.5,0,2.635,9.31625
155,Sector 48,29492.0,3,3,3,2187.0,Carpet,0.0,North,Ready To Move,Central Park Resorts,Flat,6.45,0,7.475,9.550147058823528
156,Sector 63A,14769.0,3,3,3,1625.0,Super Built-up,0.0,Unknown,Ready To Move,Anant Raj,Flat,2.4,15,7.15,4.715333333333334
157,Sector 95,12923.0,3,3,3,1750.0,Super Built-up,11.0,North,Ready To Move,AWHO Shanti Vihar,Flat,1.68,6,1.68,1.145
158,Sector 111,17941.0,3,3,3,1700.0,Super Built-up,0.0,West,Ready To Move,Puri Diplomatic Greens,Flat,3.05,0,5.778571428571429,5.433
159,Sector 104,14182.0,3,2,3,1389.0,Super Built-up,0.0,North-East,Ready To Move,Hero Homes,Flat,1.97,0,2.0712244897959184,2.838395061728395
160,Sohna,18044.0,2,2,2,1269.0,Super Built-up,13.0,North,Ready To Move,Eldeco Accolade,Flat,1.31,0,1.8875,2.1345454545454543
161,Sector 108,30620.0,3,4,3,2003.0,Super Built-up,18.0,North-East,Ready To Move,Sobha City,Flat,3.92,0,4.504222222222222,4.32938775510204
162,Sector 81,17208.0,3,4,3,2092.0,Super Built-up,0.0,North,Ready To Move,DLF The Ultima,Flat,3.6,0,4.032666666666667,3.7062857142857135
163,Sector 85,13851.0,4,5,4,2599.0,Carpet,23.0,Unknown,Ready To Move,Godrej Air,Flat,3.6,0,2.9188888888888886,2.713055555555556
164,Sector 48,30528.0,3,3,3,2424.0,Built-up,17.0,Unknown,Ready To Move,Central Park Resorts,Flat,7.4,0,7.475,9.550147058823528
165,Sector 104,15097.0,3,3,3,1689.0,Super Built-up,0.0,Unknown,Ready To Move,Hero Homes,Flat,2.55,0,2.0712244897959184,2.838395061728395
166,Sector 85,11171.0,3,4,3,2408.0,Super Built-up,26.0,Unknown,Ready To Move,SS The Leaf,Flat,2.69,6,3.17,2.713055555555556
167,Sector 61,15937.0,3,3,3,1712.0,Super Built-up,0.0,East,Ready To Move,Smart World Orchard,Flat,2.55,6,2.589,3.042666666666667
168,Sector 81,13345.0,3,4,3,2660.0,Super Built-up,0.0,East,Ready To Move,Bestech Park View Grand Spa,Flat,3.55,0,5.356,3.7062857142857135
169,Sector 106,11046.0,2,2,2,1385.0,Super Built-up,0.0,Unknown,Ready To Move,Paras Dews,Flat,1.53,0,1.6928571428571428,2.6783018867924526
170,Sector 82A,15951.0,3,4,3,1818.0,Carpet,19.0,East,Ready To Move,DLF The Primus,Flat,2.9,0,3.5392857142857146,3.481333333333333
