,bedroom,bathroom,configuration,area,area_type,age_possession,property_type,sector_encoded,price
1834,4,5,4,3240.0,3.0,0.0,1.0,9.31625,15.0
1835,20,20,20,3078.0,2.0,0.0,1.0,7.4422727272727265,20.0
1836,5,6,5,3240.0,0.0,0.0,1.0,9.38,12.0
1837,8,4,8,2367.0,3.0,0.0,1.0,7.902857142857143,10.0
1838,4,4,4,9198.0,3.0,0.0,1.0,21.43235294117647,52.0
1839,4,4,4,3240.0,3.0,0.0,1.0,14.622,15.25
1840,5,5,5,2700.0,3.0,0.0,1.0,14.284594594594594,14.0
1841,5,6,5,4500.0,3.0,0.0,1.0,16.4,24.0
1842,4,7,4,2160.0,3.0,0.0,1.0,8.25,8.0
1843,13,9,13,540.0,3.0,0.0,1.0,4.44,6.25
1844,5,6,5,3240.0,0.0,0.0,1.0,9.38,12.0
1845,5,5,5,3078.0,3.0,0.0,1.0,6.526818181818182,9.25
1846,5,6,5,6660.0,3.0,0.0,1.0,8.295333333333334,18.0
1847,6,4,6,1920.0,3.0,0.0,1.0,4.971428571428571,4.3
1848,5,5,5,3078.0,3.0,0.0,1.0,6.526818181818182,10.0
1849,5,4,5,1935.0,3.0,0.0,1.0,14.284594594594594,10.5
1850,3,4,3,3000.0,3.0,0.0,1.0,9.550147058823528,8.5
1851,10,10,10,1449.0,3.0,0.0,1.0,7.4422727272727265,7.9
1852,3,3,3,1836.0,0.0,0.0,1.0,9.4375,7.5
1853,4,5,4,2430.0,3.0,0.0,1.0,9.683529411764706,9.5
1854,6,5,6,4500.0,3.0,0.0,1.0,5.183333333333334,6.95
1855,9,9,9,2367.0,3.0,0.0,1.0,6.006,9.5
1856,4,4,4,2160.0,3.0,0.0,1.0,5.451621621621622,5.5
1857,6,8,6,4518.0,3.0,0.0,1.0,22.56153846153846,35.0
1858,5,6,5,3240.0,0.0,0.0,1.0,21.43235294117647,15.5
1859,9,9,9,3762.0,2.0,0.0,1.0,12.1676,18.15
1860,5,6,5,7000.0,0.0,0.0,1.0,12.1676,10.75
1861,6,7,6,4500.0,0.0,0.0,1.0,10.508333333333333,14.75
1862,6,7,6,9300.0,3.0,0.0,1.0,14.622,23.5
1863,3,3,3,594.0,3.0,0.0,1.0,2.94,1.8
1864,7,10,7,3240.0,3.0,0.0,1.0,17.568181818181817,14.5
1865,20,21,20,1530.0,3.0,0.0,1.0,7.768181818181818,9.6
1866,5,6,5,5400.0,3.0,0.0,1.0,8.295333333333334,12.5
1867,6,6,6,4518.0,3.0,0.0,1.0,21.43235294117647,17.0
1868,5,5,5,2520.0,3.0,0.0,1.0,17.568181818181817,13.5
1869,5,5,5,2700.0,3.0,0.0,1.0,21.43235294117647,10.6
1870,5,6,5,4500.0,3.0,0.0,1.0,21.43235294117647,18.5
1871,6,7,6,4518.0,3.0,0.0,1.0,21.43235294117647,17.0
1872,4,3,4,1440.0,3.0,0.0,1.0,3.95,3.7
1873,5,5,5,4500.0,3.0,0.0,1.0,8.949036144578313,25.0
1874,6,7,6,1476.0,2.0,0.0,1.0,10.24962962962963,7.6
1875,4,4,4,7200.0,3.0,0.0,1.0,6.513333333333333,14.0
1876,5,4,5,900.0,3.0,0.0,1.0,4.091666666666667,2.8
1877,6,12,6,900.0,3.0,0.0,1.0,7.25,5.0
1878,12,12,12,1512.0,0.0,0.0,1.0,26.53333333333333,9.6
1879,10,10,10,540.0,3.0,0.0,1.0,8.013333333333334,3.39
1880,5,6,5,2844.0,0.0,0.0,1.0,10.885384615384616,11.75
1881,10,10,10,3240.0,3.0,0.0,1.0,6.75,10.25
1882,18,19,18,2367.0,3.0,0.0,1.0,6.75,9.0
1883,6,6,6,1449.0,3.0,0.0,1.0,10.24962962962963,5.35
1884,4,4,4,60.0,3.0,0.0,1.0,12.1676,2.8
1885,5,5,5,2430.0,3.0,0.0,1.0,3.950277777777778,6.6
1886,5,5,5,7110.0,3.0,0.0,1.0,10.318928571428572,16.5
1887,3,3,3,1620.0,3.0,0.0,1.0,10.508333333333333,4.8
1888,9,10,9,2367.0,3.0,0.0,1.0,7.25,9.5
1889,4,5,4,7000.0,2.0,0.0,1.0,10.318928571428572,12.0
1890,6,7,6,4300.0,3.0,0.0,1.0,14.284594594594594,23.0
1891,12,12,12,2700.0,3.0,0.0,1.0,14.284594594594594,13.5
1892,4,4,4,4518.0,3.0,0.0,1.0,5.183333333333334,6.35
1893,4,4,4,4500.0,3.0,0.0,1.0,8.949036144578313,25.0
1894,10,10,10,614.0,3.0,0.0,1.0,10.055652173913044,14.9
1895,9,9,9,3618.0,3.0,0.0,1.0,10.885384615384616,14.15
1896,2,2,2,594.0,3.0,0.0,1.0,0.85,0.85
1897,9,9,9,4518.0,2.0,0.0,1.0,12.0,12.0
1898,3,3,3,1449.0,3.0,0.0,1.0,10.166666666666666,6.5
1899,4,4,4,2700.0,3.0,0.0,1.0,9.74,7.2
1900,5,5,5,2592.0,3.0,0.0,1.0,3.950277777777778,6.56
1901,5,6,5,2700.0,0.0,0.0,1.0,14.284594594594594,11.95
1902,5,5,5,2430.0,3.0,0.0,1.0,9.683529411764706,8.75
1903,7,8,7,9500.0,0.0,0.0,1.0,21.43235294117647,40.0
1904,5,6,5,3762.0,3.0,0.0,1.0,12.1676,16.0
1905,5,6,5,3762.0,3.0,0.0,1.0,12.1676,16.0
1906,6,7,6,3240.0,3.0,0.0,1.0,10.055652173913044,12.0
1907,5,5,5,2700.0,0.0,0.0,1.0,9.74,8.25
1908,6,7,6,9400.0,0.0,0.0,1.0,12.1676,18.0
1909,4,4,4,3250.0,3.0,0.0,1.0,7.822222222222223,4.5
1910,3,3,3,2150.0,2.0,0.0,1.0,3.154516129032258,3.5
1911,5,5,5,7400.0,0.0,0.0,1.0,5.9,14.0
1912,4,4,4,4500.0,2.0,0.0,1.0,9.31625,20.0
1913,5,5,5,4500.0,3.0,0.0,1.0,8.949036144578313,21.0
1914,9,9,9,1872.0,3.0,0.0,1.0,8.13125,9.0
1915,2,1,2,2250.0,3.0,0.0,1.0,4.583333333333333,2.5
1916,3,4,3,400.0,3.0,0.0,1.0,4.32938775510204,2.6
1917,16,15,16,16000.0,3.0,0.0,1.0,10.24962962962963,14.8
1918,6,6,6,16000.0,3.0,0.0,1.0,10.055652173913044,38.0
1919,6,6,6,2799.0,3.0,0.0,1.0,10.275,9.5
1920,5,6,5,8500.0,3.0,0.0,1.0,14.622,21.5
1921,3,2,3,2250.0,0.0,0.0,1.0,5.183333333333334,4.4
1922,10,10,10,900.0,3.0,0.0,1.0,8.295333333333334,5.6
1923,6,7,6,9000.0,3.0,0.0,1.0,9.550147058823528,23.5
1924,4,5,4,3240.0,3.0,0.0,1.0,9.550147058823528,11.7
1925,5,5,5,4923.0,3.0,0.0,1.0,8.33,11.0
1926,8,8,8,220.0,3.0,0.0,1.0,8.8,7.6
1927,5,6,5,2700.0,3.0,0.0,1.0,21.43235294117647,12.5
1928,4,4,4,5000.0,3.0,0.0,1.0,2.1133333333333333,4.3
1929,5,6,5,2403.0,3.0,0.0,1.0,8.949036144578313,15.0
1930,4,4,4,2160.0,3.0,0.0,1.0,9.31625,11.0
1931,4,5,4,2160.0,3.0,0.0,1.0,5.451621621621622,6.15
1932,6,6,6,3078.0,2.0,0.0,1.0,8.33,8.49
1933,10,10,10,263.0,3.0,0.0,1.0,8.33,6.0
1934,5,7,5,6498.0,3.0,0.0,1.0,8.295333333333334,18.0
1935,4,4,4,2799.0,3.0,0.0,1.0,9.39,11.5
1936,9,10,9,4518.0,3.0,0.0,1.0,14.284594594594594,16.0
1937,5,6,5,2700.0,3.0,0.0,1.0,14.284594594594594,15.0
1938,6,6,6,3200.0,0.0,0.0,1.0,14.284594594594594,20.0
1939,3,3,3,900.0,3.0,0.0,1.0,1.207142857142857,1.4
1940,5,4,5,1440.0,3.0,0.0,1.0,2.035,1.82
1941,10,10,10,963.0,3.0,0.0,1.0,8.013333333333334,6.75
1942,4,5,4,5620.0,3.0,0.0,1.0,8.949036144578313,13.2
1943,8,8,8,2205.0,3.0,0.0,1.0,10.15,8.95
1944,4,4,4,2205.0,3.0,0.0,1.0,10.15,9.0
1945,6,6,6,2430.0,3.0,0.0,1.0,6.513333333333333,7.8
1946,4,5,4,245.0,3.0,0.0,1.0,5.451621621621622,5.9
1947,3,3,3,270.0,3.0,0.0,1.0,6.720000000000001,3.5
1948,4,4,4,2700.0,3.0,0.0,1.0,7.768181818181818,14.5
1949,16,16,16,1530.0,3.0,0.0,1.0,7.4422727272727265,7.45
1950,7,8,7,4500.0,0.0,0.0,1.0,21.308333333333334,17.5
1951,10,11,10,3240.0,3.0,0.0,1.0,14.622,13.0
1952,4,7,4,2160.0,3.0,0.0,1.0,10.175,8.25
1953,8,9,8,3960.0,3.0,0.0,1.0,9.31625,20.99
1954,9,9,9,2250.0,3.0,0.0,1.0,6.4425,9.0
