,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
521,Sector 49,4,5,4,3300.0,Super Built-up,East,Ready To Move,Flat,6.0,4.587948717948718,Low,High Floor
522,Sector 48,3,4,3,1869.0,Super Built-up,East,Ready To Move,Flat,5.0,9.550147058823528,Low,High Floor
523,Sector 70,3,4,3,1950.0,Super Built-up,East,Ready To Move,Flat,2.5,2.246153846153846,Very High,Low Floor
524,Sector 67,2,2,2,1435.0,Super Built-up,Unknown,Ready To Move,Flat,2.9,4.372857142857143,Low,Low Floor
525,Sector 83,3,3,3,1720.0,Super Built-up,East,Ready To Move,Flat,2.15,2.2664,Very High,Low Floor
526,Sector 102,3,3,3,1889.0,Super Built-up,North-East,Ready To Move,Flat,2.8,2.667326732673267,Low,High Floor
527,Sector 102,3,3,3,1852.0,Super Built-up,North-East,Ready To Move,Flat,2.85,2.667326732673267,Low,High Floor
528,Sector 102,2,2,2,1359.0,Super Built-up,North-East,Ready To Move,Flat,2.15,2.667326732673267,Low,Mid Floor
529,Sector 60,4,6,4,4900.0,Super Built-up,Unknown,Ready To Move,Flat,9.49,4.679047619047619,Low,Low Floor
530,Sector 104,3,4,3,2290.0,Super Built-up,West,Ready To Move,Flat,2.88,2.838395061728395,Low,High Floor
531,Sector 85,3,3,3,1475.0,Super Built-up,West,Ready To Move,Flat,1.31,2.713055555555556,Low,Mid Floor
532,Sector 70A,2,2,2,1414.0,Built-up,Unknown,Ready To Move,Flat,2.65,3.154516129032258,Low,Low Floor
533,Sector 106,3,3,3,2002.0,Super Built-up,Unknown,Ready To Move,Flat,3.17,2.6783018867924526,Low,High Floor
534,MG Road,4,5,4,4175.0,Super Built-up,East,Ready To Move,Flat,17.0,12.55,Low,High Floor
535,Sector 108,3,4,3,2072.0,Super Built-up,North-East,Ready To Move,Flat,4.11,4.32938775510204,Low,Low Floor
536,Sector 65,3,3,3,3525.0,Super Built-up,Unknown,Ready To Move,Flat,13.0,8.432784810126583,High,Low Floor
537,sector 58,3,4,3,2427.0,Super Built-up,East,Ready To Move,Flat,5.95,5.483333333333333,Low,High Floor
538,Sector 92,2,2,2,1498.0,Super Built-up,Unknown,Ready To Move,Flat,1.25,2.1133333333333333,Low,Low Floor
539,Sector 102,3,3,3,1889.0,Super Built-up,North-East,Ready To Move,Flat,2.5,2.667326732673267,Low,Low Floor
540,Sector 49,4,3,4,2016.0,Super Built-up,East,Ready To Move,Flat,3.3,4.587948717948718,Low,Low Floor
541,Sector 66,4,4,4,2625.0,Super Built-up,East,Ready To Move,Flat,5.7,8.949036144578313,Low,High Floor
542,Sector 102,3,4,3,2149.0,Super Built-up,West,Ready To Move,Flat,3.2,2.667326732673267,Low,Low Floor
543,Sector 65,3,3,3,1828.0,Super Built-up,Unknown,Ready To Move,Flat,3.4,8.432784810126583,Low,High Floor
544,Sector-33 Sohna,3,3,3,1789.0,Super Built-up,Unknown,Ready To Move,Flat,2.65,6.4413829787234045,Low,Low Floor
545,Sector 106,3,3,3,2002.0,Super Built-up,North-East,Ready To Move,Flat,3.2,2.6783018867924526,Low,Mid Floor
546,Sector 112,3,3,3,2802.0,Super Built-up,East,Ready To Move,Flat,4.75,5.9,Low,High Floor
547,Sector 111,4,4,4,2570.0,Carpet,Unknown,Under Construction,Flat,4.24,5.433,Very High,High Floor
548,Sector 106,3,3,3,1367.0,Carpet,East,Ready To Move,Flat,2.85,2.6783018867924526,Low,Low Floor
549,Sector 62,2,2,2,1508.0,Super Built-up,East,Ready To Move,Flat,3.5,7.19,Low,High Floor
550,Sector 81,3,4,3,2092.0,Super Built-up,North-East,Ready To Move,Flat,3.68,3.7062857142857135,Low,Mid Floor
551,Sector 104,3,3,3,1689.0,Super Built-up,East,Ready To Move,Flat,2.35,2.838395061728395,Low,Low Floor
552,Sector 82A,3,4,3,2096.0,Super Built-up,North-East,Ready To Move,Flat,3.55,3.481333333333333,Low,High Floor
553,Sector 93,3,4,3,2105.0,Super Built-up,North-East,Ready To Move,Flat,1.9,1.5699999999999998,Low,Low Floor
554,Sector 67A,3,4,3,1852.0,Super Built-up,Unknown,Ready To Move,Flat,3.59,2.973529411764705,Low,Low Floor
555,Sector 60,3,4,3,2045.0,Super Built-up,East,Ready To Move,Flat,3.75,4.679047619047619,Low,Low Floor
556,Sector 77,3,3,3,1822.0,Super Built-up,North,Ready To Move,Flat,1.92,3.3463636363636367,Low,High Floor
557,Sector 99,4,4,4,2425.0,Super Built-up,East,Ready To Move,Flat,2.2,3.950277777777778,Low,High Floor
558,Sector 92,3,4,3,1995.0,Super Built-up,Unknown,Ready To Move,Flat,2.4,2.1133333333333333,Low,Low Floor
559,Sector 81,2,2,2,1225.0,Super Built-up,Unknown,Ready To Move,Flat,1.14,3.7062857142857135,High,Low Floor
560,Sector 104,3,3,3,1690.0,Built-up,North,Ready To Move,Flat,2.5,2.838395061728395,Low,Low Floor
561,Sector 104,3,2,3,1389.0,Super Built-up,North-East,Ready To Move,Flat,2.0,2.838395061728395,Low,High Floor
562,Sector 104,3,3,3,1689.0,Super Built-up,East,Ready To Move,Flat,2.6,2.838395061728395,Low,Low Floor
563,Sector 49,3,4,3,1669.0,Super Built-up,East,Ready To Move,Flat,3.18,4.587948717948718,Low,Low Floor
564,Sector 106,3,3,3,1360.0,Carpet,North-East,Ready To Move,Flat,3.1,2.6783018867924526,Low,Low Floor
565,Sector 68,2,2,2,865.0,Carpet,East,Ready To Move,Flat,1.11,1.7971428571428572,Low,Low Floor
566,Sector 69,3,3,3,1704.0,Super Built-up,East,Ready To Move,Flat,2.32,3.0326829268292683,Low,Low Floor
567,Sector 89,2,2,2,1208.0,Built-up,North-East,Ready To Move,Flat,1.32,1.7808695652173914,Low,Low Floor
568,Sector 110,4,5,4,3400.0,Super Built-up,North,Ready To Move,Flat,4.85,4.583333333333333,Low,High Floor
569,Sector 62,2,2,2,1508.0,Super Built-up,Unknown,Ready To Move,Flat,3.5,7.19,Low,Low Floor
570,Sector 68,3,3,3,1650.0,Super Built-up,East,Ready To Move,Flat,2.3,1.7971428571428572,Low,High Floor
571,Sector 68,2,2,2,1260.0,Super Built-up,North-East,Ready To Move,Flat,1.52,1.7971428571428572,Low,Low Floor
572,Sector 81,4,4,4,2872.0,Super Built-up,North-East,Ready To Move,Flat,4.8,3.7062857142857135,Low,Low Floor
573,Sector 42,4,5,4,6350.0,Super Built-up,Unknown,Ready To Move,Flat,42.0,30.463636363636365,Low,High Floor
574,Sector 82,3,4,3,1790.0,Super Built-up,Unknown,Ready To Move,Flat,1.85,5.451621621621622,Low,Mid Floor
575,Sector-33 Sohna,2,2,2,1151.0,Carpet,East,Under Construction,Flat,1.6,6.4413829787234045,Low,Mid Floor
576,Sector 99,3,3,3,2920.0,Super Built-up,East,Ready To Move,Flat,3.8,3.950277777777778,Low,Low Floor
577,Sector 85,4,4,4,2599.0,Carpet,North,Ready To Move,Flat,3.6,2.713055555555556,Low,Low Floor
578,Sector 66,3,3,3,1950.0,Super Built-up,North,Ready To Move,Flat,3.9,8.949036144578313,Low,Low Floor
579,Sector 67,3,4,3,2400.0,Super Built-up,East,Ready To Move,Flat,4.49,4.372857142857143,Low,Low Floor
580,Sector 89 A,3,3,3,2085.0,Super Built-up,Unknown,Ready To Move,Flat,2.34,2.81625,High,Low Floor
581,Sector 102,3,4,3,2149.0,Super Built-up,East,Ready To Move,Flat,3.15,2.667326732673267,Low,High Floor
582,Sector 70,3,3,3,1950.0,Super Built-up,North-East,Ready To Move,Flat,2.48,2.246153846153846,Very High,Low Floor
583,Sector 81,3,3,3,1810.0,Super Built-up,North,Ready To Move,Flat,2.15,3.7062857142857135,Low,Low Floor
584,Sector 86,3,3,3,1929.0,Super Built-up,North,Ready To Move,Flat,2.32,2.555897435897436,Low,Low Floor
585,Sohna,2,2,2,1120.0,Built-up,North-East,Under Construction,Flat,1.7,2.1345454545454543,Low,Low Floor
586,Sector 108,3,4,3,2003.0,Super Built-up,North,Ready To Move,Flat,3.75,4.32938775510204,Low,Low Floor
587,Sector 86,4,4,4,2356.0,Super Built-up,Unknown,Ready To Move,Flat,2.7,2.555897435897436,Low,Low Floor
588,Sector 71,3,3,3,1620.0,Super Built-up,Unknown,Ready To Move,Flat,1.91,5.482307692307692,Low,Mid Floor
589,Sector 48,3,3,3,1776.0,Super Built-up,East,Ready To Move,Flat,3.1,9.550147058823528,Low,Low Floor
590,Sector 71,2,2,2,1198.0,Super Built-up,North,Ready To Move,Flat,1.54,5.482307692307692,Low,Mid Floor
591,Sector 106,3,3,3,1855.0,Built-up,East,Ready To Move,Flat,2.85,2.6783018867924526,Low,Low Floor
592,Sector 102,4,4,4,2400.0,Super Built-up,West,Ready To Move,Flat,3.15,2.667326732673267,Low,Low Floor
593,Sector 63,4,4,4,2700.0,Built-up,Unknown,Ready To Move,Flat,4.25,8.92,Low,Low Floor
594,Sector 36A,3,3,3,1967.0,Super Built-up,East,Ready To Move,Flat,3.8,4.4023076923076925,Low,Low Floor
595,Sector 70,3,5,3,1950.0,Super Built-up,North-East,Ready To Move,Flat,2.4,2.246153846153846,Very High,Low Floor
596,Sector 102,2,2,2,915.0,Super Built-up,North-East,Ready To Move,Flat,1.53,2.667326732673267,Low,Mid Floor
597,Sector 104,3,4,3,2450.0,Super Built-up,North-East,Ready To Move,Flat,3.8,2.838395061728395,Low,High Floor
598,Sector 106,3,3,3,1855.0,Super Built-up,North-East,Ready To Move,Flat,2.9,2.6783018867924526,Low,High Floor
599,Sector 112,3,4,3,2870.0,Super Built-up,North-East,Ready To Move,Flat,3.65,5.9,Low,Low Floor
600,Sector 70,3,5,3,1950.0,Super Built-up,Unknown,Ready To Move,Flat,2.5,2.246153846153846,Low,Low Floor
601,Sector 102,3,3,3,1689.0,Super Built-up,North-East,Ready To Move,Flat,2.35,2.667326732673267,Low,High Floor
602,Sector 104,3,4,3,2450.0,Super Built-up,North,Ready To Move,Flat,3.6,2.838395061728395,Low,Low Floor
603,Sector 109,3,4,3,2381.0,Super Built-up,Unknown,Ready To Move,Flat,3.15,9.683529411764706,Low,Low Floor
604,Sector 106,3,4,3,2002.0,Super Built-up,East,Ready To Move,Flat,3.11,2.6783018867924526,Low,Low Floor
605,Sector 106,3,3,3,1855.0,Super Built-up,Unknown,Ready To Move,Flat,2.87,2.6783018867924526,Low,High Floor
606,Sector 85,3,3,3,2129.0,Carpet,East,Ready To Move,Flat,2.9,2.713055555555556,Low,Low Floor
607,Sector 67A,2,2,2,1484.0,Super Built-up,North,Ready To Move,Flat,2.3,2.973529411764705,Low,Low Floor
608,Sector 52,4,4,4,1680.0,Super Built-up,North-East,Ready To Move,Flat,3.1,5.501818181818181,Low,Mid Floor
609,Sector 52,3,3,3,1350.0,Carpet,West,Ready To Move,Flat,2.56,5.501818181818181,Low,Mid Floor
610,Sector 104,3,4,3,2450.0,Super Built-up,North,Ready To Move,Flat,3.6,2.838395061728395,Low,Low Floor
611,Sector 81,3,4,3,2092.0,Super Built-up,East,Ready To Move,Flat,3.66,3.7062857142857135,Low,High Floor
612,Sohna,2,2,2,1205.0,Super Built-up,Unknown,Ready To Move,Flat,1.4,2.1345454545454543,Low,Low Floor
613,Sector 86,3,3,3,1929.0,Super Built-up,East,Ready To Move,Flat,2.32,2.555897435897436,Low,High Floor
614,Sector 84,3,3,3,1890.0,Super Built-up,Unknown,Ready To Move,Flat,2.0,2.2295238095238097,Low,Low Floor
615,Sector 84,4,6,4,3450.0,Super Built-up,Unknown,Ready To Move,Flat,2.6,2.2295238095238097,Low,Low Floor
616,Sector 85,4,5,4,2560.0,Super Built-up,Unknown,Ready To Move,Flat,2.6,2.713055555555556,Low,Low Floor
617,Sector 85,4,5,4,2812.0,Super Built-up,Unknown,Ready To Move,Flat,3.5,2.713055555555556,Low,Low Floor
618,Sector 85,4,5,4,2812.0,Super Built-up,Unknown,Ready To Move,Flat,3.6,2.713055555555556,Low,Low Floor
619,Sector 85,2,2,2,1640.0,Super Built-up,Unknown,Ready To Move,Flat,2.05,2.713055555555556,Low,Low Floor
620,Sector 69,3,3,3,1704.0,Super Built-up,Unknown,Ready To Move,Flat,2.25,3.0326829268292683,Low,Mid Floor
621,Sector 89 A,3,3,3,1960.0,Super Built-up,Unknown,Ready To Move,Flat,2.89,2.81625,Low,Low Floor
622,Sohna,2,2,2,1205.0,Super Built-up,East,Ready To Move,Flat,1.44,2.1345454545454543,Medium,Low Floor
623,Sector 22B,2,2,2,1382.0,Carpet,Unknown,Ready To Move,Flat,3.0,3.0,Low,Low Floor
624,Sector 86,3,3,3,1929.0,Super Built-up,North,Ready To Move,Flat,2.31,2.555897435897436,Low,High Floor
625,Sohna,2,2,2,645.0,Super Built-up,East,Ready To Move,Flat,0.62,2.1345454545454543,Low,Mid Floor
626,Sector 89,3,3,3,1743.0,Carpet,North-East,Under Construction,Flat,3.0,1.7808695652173914,Low,Low Floor
627,Sector 84,3,3,3,2275.0,Super Built-up,Unknown,Ready To Move,Flat,2.22,2.2295238095238097,Low,Low Floor
628,Nirvana Country,3,4,3,1877.0,Super Built-up,East,Ready To Move,Flat,2.8,9.31625,Low,Low Floor
629,Pocket H Nirvana Country,3,4,3,2480.0,Super Built-up,North,Ready To Move,Flat,4.2,8.333333333333334,Low,Low Floor
630,Sector 66,2,2,2,1180.0,Super Built-up,Unknown,Ready To Move,Flat,2.2,8.949036144578313,Low,High Floor
631,Sector 90,3,3,3,1737.0,Super Built-up,East,Ready To Move,Flat,2.15,2.261428571428572,Low,High Floor
632,Sector 74,3,3,3,2000.0,Super Built-up,East,Ready To Move,Flat,3.45,3.45,Low,High Floor
633,Sector 59,3,5,3,2595.0,Super Built-up,Unknown,Ready To Move,Flat,6.48,6.363809523809524,High,Low Floor
634,Sector 59,3,5,3,2595.0,Super Built-up,East,Ready To Move,Flat,6.5,6.363809523809524,High,Low Floor
635,Sector 67,3,4,3,1935.0,Super Built-up,Unknown,Ready To Move,Flat,3.05,4.372857142857143,Medium,Low Floor
636,Sector 66,4,5,4,2410.0,Super Built-up,North-East,Ready To Move,Flat,4.5,8.949036144578313,High,Low Floor
637,Sector 43,4,4,4,2480.0,Super Built-up,Unknown,Ready To Move,Flat,4.14,7.4422727272727265,Low,Low Floor
638,Sector 88A,4,4,4,2317.0,Super Built-up,North-East,Ready To Move,Flat,2.7,2.35,Low,Low Floor
639,Sector 102,3,3,3,1500.0,Carpet,Unknown,Ready To Move,Flat,2.69,2.667326732673267,High,High Floor
640,Sector 70,3,3,3,1950.0,Super Built-up,East,Ready To Move,Flat,2.4,2.246153846153846,Low,Low Floor
641,Sector 67,3,3,3,2711.0,Super Built-up,Unknown,Ready To Move,Flat,5.35,4.372857142857143,Low,High Floor
642,Sector 106,2,2,2,817.0,Carpet,Unknown,Ready To Move,Flat,2.25,2.6783018867924526,Low,High Floor
643,Sector 106,3,4,3,2002.0,Carpet,East,Ready To Move,Flat,3.25,2.6783018867924526,Low,High Floor
644,Sector 106,3,3,3,1360.0,Carpet,North,Ready To Move,Flat,2.95,2.6783018867924526,Low,Low Floor
645,Sector 86,3,3,3,1929.0,Super Built-up,West,Ready To Move,Flat,2.34,2.555897435897436,Low,Low Floor
646,Sector 69,3,3,3,1608.0,Super Built-up,East,Ready To Move,Flat,2.38,3.0326829268292683,Low,Low Floor
647,Sector 59,3,3,3,2595.0,Super Built-up,North-East,Ready To Move,Flat,6.6,6.363809523809524,Low,Low Floor
648,Sector 104,2,2,2,1099.0,Super Built-up,North-East,Ready To Move,Flat,1.7,2.838395061728395,Very High,Low Floor
649,Sector 81,2,2,2,1250.0,Super Built-up,East,Ready To Move,Flat,1.2,3.7062857142857135,Very High,Low Floor
650,Sector 102,3,3,3,1692.0,Super Built-up,North-East,Ready To Move,Flat,2.65,2.667326732673267,Low,High Floor
651,Sector 67,3,3,3,2411.0,Super Built-up,East,Ready To Move,Flat,4.65,4.372857142857143,Low,Low Floor
652,Sohna,2,2,2,822.0,Super Built-up,Unknown,Ready To Move,Flat,0.85,2.1345454545454543,Low,Low Floor
653,Sector 65,4,5,4,5163.0,Super Built-up,Unknown,Ready To Move,Flat,12.9,8.432784810126583,Low,High Floor
654,Sector 42,4,8,4,7400.0,Super Built-up,North-East,Ready To Move,Flat,65.0,30.463636363636365,Low,Mid Floor
655,Sector 89,3,3,3,1910.0,Super Built-up,North-East,Ready To Move,Flat,1.57,1.7808695652173914,Low,High Floor
656,Sector 104,2,2,2,1099.0,Super Built-up,North-East,Ready To Move,Flat,1.73,2.838395061728395,Low,Low Floor
657,Sector 92,4,5,4,2475.0,Super Built-up,North-East,Ready To Move,Flat,2.9,2.1133333333333333,Low,Low Floor
658,Sector 85,3,3,3,2129.0,Super Built-up,North-East,Ready To Move,Flat,2.95,2.713055555555556,Low,High Floor
659,Sector 92,3,4,3,1995.0,Super Built-up,North-East,Ready To Move,Flat,2.3,2.1133333333333333,Low,Low Floor
660,Sikandarpur Badha,3,3,3,1829.0,Super Built-up,North-East,Ready To Move,Flat,2.59,2.59,Low,Low Floor
661,Sector 102,3,4,3,1931.0,Super Built-up,East,Ready To Move,Flat,2.45,2.667326732673267,Low,High Floor
662,Sector 85,5,7,5,4950.0,Super Built-up,East,Ready To Move,Flat,5.82,2.713055555555556,Low,High Floor
663,Sector 99,3,3,3,1865.0,Super Built-up,North-East,Ready To Move,Flat,2.05,3.950277777777778,Low,Low Floor
664,Sector 54,4,6,4,4050.0,Super Built-up,Unknown,Ready To Move,Flat,11.5,22.56153846153846,Low,Low Floor
665,Sector-33 Sohna,3,2,3,1235.0,Carpet,East,Ready To Move,Flat,1.78,6.4413829787234045,Low,Low Floor
666,Sector 49,2,2,2,1200.0,Carpet,East,Ready To Move,Flat,2.55,4.587948717948718,Low,Low Floor
667,Sector 84,4,4,4,2800.0,Super Built-up,Unknown,Ready To Move,Flat,3.2,2.2295238095238097,Low,Mid Floor
668,Sector 83,3,4,3,1850.0,Super Built-up,Unknown,Ready To Move,Flat,2.55,2.2664,Very High,Low Floor
669,Sector 49,3,4,3,2251.0,Super Built-up,Unknown,Ready To Move,Flat,5.25,4.587948717948718,Low,Low Floor
670,Sector 82,3,5,3,2300.0,Super Built-up,Unknown,Ready To Move,Flat,2.34,5.451621621621622,Low,Mid Floor
671,Sector 106,3,3,3,1108.0,Carpet,North-East,Ready To Move,Flat,2.9,2.6783018867924526,Low,Low Floor
672,Sector 112,3,3,3,2802.0,Super Built-up,North-East,Ready To Move,Flat,5.35,5.9,Low,Low Floor
673,Sector 52,3,3,3,1350.0,Super Built-up,Unknown,Ready To Move,Flat,2.4,5.501818181818181,High,Mid Floor
674,Sector 81,2,2,2,1250.0,Super Built-up,East,Ready To Move,Flat,1.18,3.7062857142857135,Medium,Low Floor
675,Sector 104,4,4,4,3150.0,Super Built-up,North-East,Ready To Move,Flat,3.9,2.838395061728395,Low,High Floor
676,Sector 59,3,3,3,2295.0,Built-up,East,Ready To Move,Flat,5.27,6.363809523809524,Low,High Floor
677,Sector 107,2,2,2,1534.0,Super Built-up,Unknown,Ready To Move,Flat,1.55,1.655,Low,High Floor
678,Sector 62,2,2,2,1508.0,Super Built-up,East,Ready To Move,Flat,3.5,7.19,Low,High Floor
679,Sector 60,4,4,4,2800.0,Super Built-up,North-East,Ready To Move,Flat,5.8,4.679047619047619,Low,High Floor
680,Sector 62,4,4,4,4337.0,Super Built-up,North-East,Ready To Move,Flat,11.0,7.19,Low,High Floor
681,Sector 83,3,4,3,1900.0,Super Built-up,North,Ready To Move,Flat,2.5,2.2664,Low,Low Floor
682,Sector-33 Sohna,3,3,3,1789.0,Super Built-up,Unknown,Ready To Move,Flat,2.72,6.4413829787234045,Low,Mid Floor
683,Sector 89 A,4,4,4,2505.0,Super Built-up,North,Ready To Move,Flat,2.79,2.81625,High,Low Floor
684,Sector 106,2,2,2,1366.0,Super Built-up,East,Ready To Move,Flat,2.15,2.6783018867924526,Low,Low Floor
685,Sector 49,3,4,3,2061.0,Super Built-up,North,Ready To Move,Flat,3.5,4.587948717948718,Low,High Floor
686,Sector 81,3,2,3,1660.0,Super Built-up,East,Ready To Move,Flat,1.87,3.7062857142857135,Low,High Floor
687,Sector 81,3,3,3,1810.0,Super Built-up,North,Ready To Move,Flat,2.18,3.7062857142857135,Low,Low Floor
688,Sector 65,4,4,4,4992.0,Super Built-up,East,Ready To Move,Flat,12.0,8.432784810126583,Low,Low Floor
689,Sector 66,3,3,3,3300.0,Super Built-up,Unknown,Ready To Move,Flat,6.5,8.949036144578313,Low,High Floor
690,Sector 66,4,4,4,2100.0,Super Built-up,Unknown,Ready To Move,Flat,4.2,8.949036144578313,Low,High Floor
691,Sector 68,3,3,3,1746.0,Super Built-up,East,Ready To Move,Flat,2.2,1.7971428571428572,Low,High Floor
692,Sector 86,3,3,3,1930.0,Super Built-up,Unknown,Ready To Move,Flat,2.3,2.555897435897436,Low,High Floor
693,Sector 102,4,4,4,2180.0,Super Built-up,Unknown,Ready To Move,Flat,3.2,2.667326732673267,Low,Low Floor
694,Sector 99,4,4,4,3360.0,Super Built-up,East,Ready To Move,Flat,4.3,3.950277777777778,Low,Low Floor
695,Sector 104,3,2,3,1359.0,Super Built-up,North,Ready To Move,Flat,1.9,2.838395061728395,Low,Low Floor
696,Sector 85,3,4,3,2120.0,Super Built-up,Unknown,Ready To Move,Flat,1.86,2.713055555555556,Low,Low Floor
697,Sector 84,3,3,3,1750.0,Super Built-up,Unknown,Ready To Move,Flat,1.85,2.2295238095238097,Low,High Floor
698,Sector 68,3,4,3,1999.0,Super Built-up,East,Ready To Move,Flat,2.37,1.7971428571428572,Low,Mid Floor
699,Sector 83,3,4,3,1900.0,Super Built-up,Unknown,Ready To Move,Flat,2.65,2.2664,Very High,Low Floor
700,Sector 102,2,2,2,1215.0,Super Built-up,North-East,Ready To Move,Flat,1.95,2.667326732673267,Low,Mid Floor
701,Sector 82,3,4,3,1790.0,Super Built-up,Unknown,Ready To Move,Flat,1.86,5.451621621621622,Low,High Floor
702,Sector 106,3,4,3,2002.0,Super Built-up,East,Ready To Move,Flat,3.0,2.6783018867924526,Low,High Floor
703,Sohna,2,2,2,745.0,Carpet,Unknown,Ready To Move,Flat,0.72,2.1345454545454543,Low,Mid Floor
704,Sector 85,3,3,3,2130.0,Super Built-up,Unknown,Ready To Move,Flat,2.85,2.713055555555556,Low,High Floor
705,Sector 109,3,4,3,1955.0,Super Built-up,Unknown,Ready To Move,Flat,2.8,9.683529411764706,Low,Low Floor
706,Sector 99,3,3,3,1685.0,Super Built-up,Unknown,Ready To Move,Flat,2.15,3.950277777777778,Low,Low Floor
707,Sector 65,2,2,2,1261.0,Super Built-up,East,Ready To Move,Flat,2.46,8.432784810126583,Low,Low Floor
708,Sector 62,3,3,3,2588.0,Super Built-up,Unknown,Ready To Move,Flat,6.0,7.19,Low,Low Floor
709,Sector 65,3,3,3,1828.0,Super Built-up,North,Ready To Move,Flat,3.47,8.432784810126583,Low,Low Floor
710,Sector 60,2,3,2,1524.0,Super Built-up,East,Ready To Move,Flat,2.8,4.679047619047619,Low,Low Floor
711,Sector 102,2,2,2,915.0,Super Built-up,East,Ready To Move,Flat,1.6,2.667326732673267,Low,High Floor
712,Sector 30,4,5,4,4050.0,Super Built-up,North,Ready To Move,Flat,12.5,9.4375,Low,Low Floor
713,Nirvana Country,3,4,3,2617.0,Super Built-up,North,Ready To Move,Flat,3.9,9.31625,Low,Low Floor
714,Sohna,3,3,3,1527.0,Super Built-up,Unknown,Ready To Move,Flat,1.8,2.1345454545454543,Low,Low Floor
715,Sector 49,4,4,4,2383.0,Super Built-up,East,Ready To Move,Flat,4.5,4.587948717948718,Low,Mid Floor
716,Sector 67,3,3,3,2047.0,Super Built-up,Unknown,Ready To Move,Flat,3.6,4.372857142857143,Low,Low Floor
717,Sector 102,4,4,4,2162.0,Super Built-up,East,Ready To Move,Flat,3.15,2.667326732673267,Low,High Floor
718,Sector 106,3,3,3,1855.0,Super Built-up,North-East,Ready To Move,Flat,2.75,2.6783018867924526,Low,High Floor
719,Sector 104,3,4,3,2450.0,Super Built-up,Unknown,Ready To Move,Flat,3.5,2.838395061728395,Low,High Floor
720,Sector 106,3,4,3,2002.0,Super Built-up,East,Ready To Move,Flat,3.15,2.6783018867924526,Low,High Floor
721,Sector 102,2,2,2,1215.0,Super Built-up,Unknown,Ready To Move,Flat,2.1,2.667326732673267,Low,Low Floor
722,Sector 112,6,7,6,6840.0,Super Built-up,Unknown,Ready To Move,Flat,8.99,5.9,Low,Mid Floor
723,Sector 113,3,3,3,2691.0,Super Built-up,East,Ready To Move,Flat,3.9,4.3125,Low,High Floor
724,Sector 104,2,2,2,1099.0,Super Built-up,East,Ready To Move,Flat,1.63,2.838395061728395,Low,Mid Floor
725,Sector 109,3,4,3,2150.0,Super Built-up,Unknown,Ready To Move,Flat,2.4,9.683529411764706,Low,Low Floor
726,Sector 102,3,4,3,2550.0,Super Built-up,West,Ready To Move,Flat,3.15,2.667326732673267,Low,Low Floor
727,Sector 102,4,4,4,3198.0,Super Built-up,North-East,Ready To Move,Flat,3.85,2.667326732673267,Low,Low Floor
728,Sector 106,4,5,4,2720.0,Super Built-up,East,Ready To Move,Flat,4.05,2.6783018867924526,Low,High Floor
729,Nirvana Country,3,4,3,1983.0,Super Built-up,East,Ready To Move,Flat,3.19,9.31625,Low,Mid Floor
730,Sector 89,3,3,3,1494.0,Super Built-up,Unknown,Ready To Move,Flat,1.69,1.7808695652173914,High,Low Floor
731,Sector 66,3,3,3,1872.0,Super Built-up,Unknown,Ready To Move,Flat,3.45,8.949036144578313,Low,Mid Floor
732,Sector 66,4,4,4,2052.0,Super Built-up,Unknown,Ready To Move,Flat,4.05,8.949036144578313,Low,High Floor
733,Sector 67A,2,2,2,1484.0,Super Built-up,Unknown,Ready To Move,Flat,2.48,2.973529411764705,Low,Mid Floor
734,Sector 65,2,2,2,1261.0,Super Built-up,North-East,Ready To Move,Flat,2.41,8.432784810126583,Low,Low Floor
735,Sector 76,2,2,2,582.0,Carpet,Unknown,Ready To Move,Flat,0.94,1.0922222222222222,Low,High Floor
736,Sector 37D,4,3,4,2213.0,Super Built-up,Unknown,Ready To Move,Flat,2.6,2.6355,Low,High Floor
737,Sector-33 Sohna,3,3,3,2000.0,Super Built-up,North,Ready To Move,Flat,2.9,6.4413829787234045,Low,High Floor
738,Sector 67,2,2,2,1470.0,Super Built-up,Unknown,Ready To Move,Flat,2.85,4.372857142857143,Low,Low Floor
739,Sector 106,3,3,3,1855.0,Super Built-up,Unknown,Ready To Move,Flat,2.7,2.6783018867924526,Low,High Floor
740,Sector 56,3,3,3,1700.0,Super Built-up,East,Ready To Move,Flat,2.1,4.152083333333334,Low,Low Floor
741,Sector 104,4,4,4,3150.0,Super Built-up,East,Ready To Move,Flat,4.1,2.838395061728395,Low,Low Floor
742,Sector 37C,2,3,2,1100.0,Carpet,Unknown,Ready To Move,Flat,1.25,1.740714285714286,Low,Low Floor
743,Sector 89,3,3,3,1494.0,Super Built-up,East,Ready To Move,Flat,1.61,1.7808695652173914,Low,Low Floor
744,Sector 89,3,3,3,1494.0,Super Built-up,East,Ready To Move,Flat,1.66,1.7808695652173914,Low,Mid Floor
745,Sector 111,3,4,3,2100.0,Super Built-up,North,Ready To Move,Flat,3.8,5.433,Low,Low Floor
746,Nirvana Country,3,3,3,2069.0,Super Built-up,North-East,Ready To Move,Flat,3.3,9.31625,Medium,Low Floor
747,Sector 103,3,3,3,1900.0,Carpet,Unknown,Ready To Move,Flat,2.0,3.9275,Medium,Low Floor
748,Sector-35 Sohna,2,2,2,531.0,Carpet,Unknown,Ready To Move,Flat,0.62,0.62,Low,Mid Floor
