,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
2095,Sector 47,4,4,4,647.0,Super Built-up,East,RESALE,House,3.75,6.4425,Low,Low Floor
2096,DLF Phase 3,4,4,4,1467.0,Super Built-up,East,RESALE,House,6.25,10.885384615384616,High,Low Floor
2097,Sector 50,4,6,4,3960.0,Super Built-up,East,RESALE,House,20.0,10.175,Very High,Low Floor
2098,Sector 55,12,12,12,1836.0,Covered,East,RESALE,House,9.0,8.13125,Medium,Low Floor
2099,Sector 99,2,2,2,3834.0,Super Built-up,North-East,RESALE,House,11.0,3.950277777777778,Medium,Low Floor
2100,"Block C, Sushant Lok Phase 1",4,4,4,2700.0,Super Built-up,Unknown,RESALE,House,9.25,8.013333333333334,Low,Low Floor
2101,Sector 56,14,14,14,6500.0,Covered,Unknown,RESALE,House,8.39,4.152083333333334,Medium,Low Floor
2102,Nirvana Country,5,5,5,2200.0,Super Built-up,Unknown,RESALE,House,11.25,9.31625,Low,Low Floor
2103,Sector 70A,3,3,3,1630.0,Covered,Unknown,RESALE,House,2.3,3.154516129032258,Medium,Low Floor
2104,Sector 46,5,4,5,900.0,Super Built-up,North-East,RESALE,House,3.85,10.24962962962963,Low,Low Floor
2105,Sector 46,4,3,4,900.0,Super Built-up,Unknown,RESALE,House,4.25,10.24962962962963,Low,Low Floor
2106,Sector 46,4,3,4,900.0,Super Built-up,Unknown,RESALE,House,4.25,10.24962962962963,Low,Low Floor
2107,Sector 48,3,4,3,2583.0,Super Built-up,East,RESALE,House,9.5,9.550147058823528,Low,Low Floor
2108,Malibu Town,4,5,4,3240.0,Super Built-up,East,RESALE,House,13.0,10.055652173913044,Low,Low Floor
2109,Urban Estate,4,4,4,2250.0,Covered,East,RESALE,House,5.0,6.633333333333333,Medium,Low Floor
2110,Sector 109,4,4,4,2430.0,Super Built-up,East,RESALE,House,9.0,9.683529411764706,Medium,Low Floor
2111,Sector 109,6,7,6,3600.0,Super Built-up,North-East,RESALE,House,14.5,9.683529411764706,Low,Low Floor
2112,DLF Phase 1,5,6,5,7000.0,Built-up,Unknown,RESALE,House,14.8,21.43235294117647,Low,Low Floor
2113,Sushant Lok Phase 1,2,2,2,1935.0,Covered,North-East,RESALE,House,9.5,12.1676,Medium,Low Floor
2114,Sector 72,5,5,5,8500.0,Built-up,North-East,RESALE,House,15.75,10.318928571428572,Low,Low Floor
2115,Sector 48,5,6,5,9000.0,Super Built-up,North,RESALE,House,29.0,9.550147058823528,Low,Low Floor
2116,Sohna,5,5,5,3105.0,Super Built-up,East,RESALE,House,10.0,2.1345454545454543,Medium,Low Floor
2117,Sector 109,5,5,5,5400.0,Built-up,North-East,RESALE,House,10.0,9.683529411764706,Low,Low Floor
2118,Sector 109,5,6,5,3600.0,Super Built-up,East,RESALE,House,15.0,9.683529411764706,Low,Low Floor
2119,Sector 66,5,5,5,3150.0,Super Built-up,Unknown,RESALE,House,18.0,8.949036144578313,Low,Low Floor
2120,Sector 40,3,3,3,2367.0,Super Built-up,Unknown,RESALE,House,8.5,6.006,Low,Low Floor
2121,Sector 63,9,9,9,2700.0,Super Built-up,North-East,RESALE,House,15.0,8.92,Low,Low Floor
2122,Sector 48,4,4,4,3285.0,Super Built-up,Unknown,RESALE,House,11.5,9.550147058823528,Medium,Low Floor
2123,"Block C, Sushant Lok Phase 1",11,11,11,549.0,Super Built-up,North,RESALE,House,3.49,8.013333333333334,Medium,Low Floor
2124,A Block Sushant Lok Phase 1,9,9,9,3762.0,Super Built-up,Unknown,RESALE,House,14.5,17.0,Low,Low Floor
