,Unnamed: 0.1,Unnamed: 0,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_id,rating,reviews,link
475,644.0,1011.0,Individual,"4 BHK Flat in Sector 65, Gurgaon","4 BHK Flat in Sector 65, Gurgaon",₹20.5 Cr,"₹33,884 /sqft",4.0,5.0,4 BHK,6050.0,"6,050 sqft",Super Built-up,47 floor,North-East,Ready To Move,,3.0,,,"This is a north-East-Facing property. Containing 4 bedroom(s), 5 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 6050 sq.Ft. The residential building has 47 floors in total and the flat for sale is located on the 15th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The vitrified flooring of this flat...",Trump Tower,Trump Tower,North-East Facing Newly Constructed,,,,
476,645.0,1012.0,Individual,"4 BHK Flat in Sector 62, Gurgaon","4 BHK Flat in Sector 62, Gurgaon",₹16.5 Cr,"₹35,181 /sqft",4.0,5.0,4 BHK,4690.0,"4,690 sqft",Super Built-up,16th floor,East,Ready To Move,,3.0,,,"This 4 bhk flat is located in pioneer araya, which houses some of the most spacious flats in sector 62 gurgaon. This is a south-East-Facing property. The floor plan additionally contains 4 bedroom(s), 5 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 4690 sq.Ft. The property is located on the 16th floor of a 34 floors tall building. An added advantage of ...",Pioneer Araya,Pioneer Araya,,,,,
477,646.0,1013.0,Individual,"3 BHK Flat in Sector 36A, Gurgaon","3 BHK Flat in Sector 36A, Gurgaon",₹5.75 Cr,"₹20,218 /sqft",3.0,4.0,3 BHK,2844.0,"2,844 sqft",Super Built-up,15th floor,North-East,Ready To Move,,2.0,,,"The flat is north-East-Facing. The flat is over 2844 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and 2 balconies. This flat is situated on the 15th floor of this 37 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The marble flooring of this flat is beautifully designed and helps to give i...",Max Estate 360,Max Estate 360,North-East Facing Gated Society,,,,
478,647.0,1014.0,Individual,"3 BHK Flat in Sector 66, Gurgaon","3 BHK Flat in Sector 66, Gurgaon",₹4 Cr,"₹20,512 /sqft",3.0,3.0,3 BHK,1950.0,"1,950 sqft",Super Built-up,,North-East,Ready To Move,,,,,"Emaar mgf palm drive is a prestigious creation by emaar mgf land limited. Palm drive has been strategically placed in sector 66, gurgaon. Located on golf course extension road, this project has easy accessibility via national highway 8 (Jaipur highway), golf course road and sohna road. Furthermore, metro lines are also available just at a few minutes' driving distance. Reaching indira gandhi in...",Emaar MGF The Palm Drive,Emaar MGF The Palm Drive,North-East Facing Gated Society,,,,
479,648.0,1015.0,Individual,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.4 Cr,"₹11,851 /sqft",3.0,4.0,3 BHK,2025.0,"2,025 sqft",Super Built-up,14 floor,North-East,Ready To Move,,3.0,,Garden,"Check out this 3 bhk apartment for sale in emaar imperial gardens, a popular residential project that houses in-Demand flats in sector 102 gurgaon. This property faces the north-East direction. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2025 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on the...",Emaar Imperial Gardens,Emaar Imperial Gardens,North-East Facing Dps Nearby,,,,
480,649.0,1016.0,Individual,"5 BHK Flat in Sector 30, Gurgaon","5 BHK Flat in Sector 30, Gurgaon",₹15 Cr,"₹28,846 /sqft",5.0,5.0,5 BHK,5200.0,"5,200 sqft",Super Built-up,,North-East,Ready To Move,,,,Garden,"Why unitech world spa is unique: Prime sector 30 location: Close to nh-8, huda city centre, and south city. Ultra-Spacious homes: Large 4 & 5 bhks with premium layouts. Two luxury clubhouses: Spa east & spa west with pools, indoor lap pool, jacuzzi, and wellness facilities. High-Quality construction: Earthquake-Resistant structure with premium glazing and finishes. Premium interiors: Marble flo...",Unitech The World Spa West,Unitech The World Spa West,North-East Facing Private Garden,,,,
481,650.0,1017.0,Individual,"3 BHK Flat in Sector 56, Gurgaon","3 BHK Flat in Sector 56, Gurgaon",₹2.65 Cr,"₹13,250 /sqft",3.0,3.0,3 BHK,2000.0,"2,000 sqft",Super Built-up,9 floor,East,Ready To Move,,3.0,,Garden,"This 3 bhk flat is located in bhagwanti apartment, which houses some of the most spacious flats in sector 56 gurgaon. This property faces the east direction. The flat occupies a super built up area of 2000 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The flat has a total of 9 floors and this property is situated on 5th floor. As the project is already ready to move...",Bhagwanti Apartment,Bhagwanti Apartment,East Facing Private Garden,,,,
482,651.0,1018.0,Individual,"3 BHK Flat in Sector 70, Gurgaon","3 BHK Flat in Sector 70, Gurgaon",₹2.57 Cr,"₹13,179 /sqft",3.0,5.0,3 BHK,1950.0,"1,950 sqft",Super Built-up,,North-East,Ready To Move,,,Servant Room,Garden,"Urgent for sale shree vardhman victoria area 1950 sqft 3bhk+servant room this unit available on middle floor and sun facing unit. There all modem facilities available in this apartment this is a very good location and very good connectivity for metro station, golf course road extension and nh-8. If you are interested in this property so please call for more details.",Shree Vardhman Victoria,Shree Vardhman Victoria,North-East Facing Private Garden,,,,
483,652.0,1019.0,Individual,"3 BHK Flat in Nirvana Country, Gurgaon","3 BHK Flat in Nirvana Country, Gurgaon",₹3.45 Cr,"₹16,197 /sqft",3.0,3.0,3 BHK,2130.0,"2,130 sqft",Super Built-up,,North-East,Ready To Move,,3.0,,Garden,"Located in the popular residential address of nirvana country, gurgaon, the close north is one of the most preferred destination for apartments in gurgaon. This 3 bhk plus terrace flat is your ticket to be a part of this community. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2130 sq.Ft. The flat has...",The Close North,The Close North,North-East Facing Private Garden,,,,
484,653.0,1020.0,Individual,"3 BHK Flat in Nirvana Country, Gurgaon","3 BHK Flat in Nirvana Country, Gurgaon",₹4.17 Cr,"₹16,814 /sqft",3.0,4.0,3 BHK,2480.0,"2,480 sqft",Super Built-up,,South,Ready To Move,,3.0,,Garden,"This 3 bhk flat is located in the close south, which houses some of the most spacious flats in nirvana country, gurgaon. The flat is facing the east direction. Constructed on a super built up area of 2480 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. This flat lies on the 9th level of a 17 storey building. Being a ready to move project, you can expect immediate...",The Close South,The Close South,East Facing Private Garden,,,,
