,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location
361,Project,"3, 4 BHK Flat in Sector 111, Gurgaon","3, 4 BHK Flat in Sector 111, Gurgaon",₹13.75 Cr,,5.0,,5 BHK,,,,,,Ready To Move,,,,"Swimming Pool, Gym, Club House","Puri Diplomatic Greens brings you beautifully designed 3 BHK Apartment, 4 BHK Apartment and 5 BHK Villa in Sector 111. Puri Diplomatic Greens is a Ready To Move project. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. Property prices here start from Rs. 3.69 Cr",,,Nearby : Park Hospital Red Roses Public School
362,Project,"2, 3, 4 BHK Flat in Sector 92, Gurgaon","2, 3, 4 BHK Flat in Sector 92, Gurgaon",₹1.18 Cr,,2.0,,2 BHK,2226.0,"2,226 sqft",,,,,,,,,"Check out 2,3,4 BHK apartments in Sector 92, now available for sale at Sare Crescent Parc. Apartments in this complex are available in price range of Rs. 1.18 - 2.45 Cr. Sare Crescent Parc has apartments in multiple configurations, in range of 980 - 2,226 sqft. Sare Crescent Parc 's RERA registration number is 275 OF 2017 DATED 09.10.2017",,,Nearby : GD International School Silver Streak Multi Speciality Hospital
365,Project,"5 BHK Flat in Sector 102, Gurgaon","5 BHK Flat in Sector 102, Gurgaon",₹4.66 Cr,,5.0,,5 BHK,,,,,,Ready To Move,,,,"Swimming Pool, Gym, Club House","For Multiple: BPTP Amstoria offers beautifully designed 5 BHK Apartment, 3 BHK Independent Floor and 4 BHK Independent Floor in Sector 102, Gurgaon. BPTP Amstoria is a Ready To Move project. Property prices here start from Rs. 3.86 Cr. Swimming Pool, Gymnasium and Club House are some of the amenities offered here",,,Nearby : Dwarka Expressway Early Basket Grocery shop
375,Project,"2, 3, 4 BHK Flat in Sector 86, Gurgaon","2, 3, 4 BHK Flat in Sector 86, Gurgaon",₹1.8 Cr,,2.0,,2 BHK,2727.0,"2,727 sqft",,,,Ready To Move,,,,,"Beautiful 2,3,4 BHK apartments in Sector 86, are now available in DLF New Town Heights 2 housing project. Apartments in this complex are available in price range of Rs. 1.8 - 2.59 Cr. DLF New Town Heights 2 apartments are available in multiples sizes, ranging from 1,305 - 2,727 sqft SUPER area. The apartments here are Ready To Move",,,Nearby : Bharat Ram Global School Canara Bank ATM
376,Project,"2, 3, 4 BHK Flat in Sector 86, Gurgaon","2, 3, 4 BHK Flat in Sector 86, Gurgaon",₹2.22 Cr,,3.0,,3 BHK,2727.0,"2,727 sqft",,,,Ready To Move,,,,,"Beautiful 2,3,4 BHK apartments in Sector 86, are now available in DLF New Town Heights 2 housing project. Apartments in this complex are available in price range of Rs. 1.8 - 2.59 Cr. DLF New Town Heights 2 apartments are available in multiples sizes, ranging from 1,305 - 2,727 sqft SUPER area. The apartments here are Ready To Move",,,Nearby : Bharat Ram Global School Canara Bank ATM
377,Project,"2, 3, 4 BHK Flat in Sector 86, Gurgaon","2, 3, 4 BHK Flat in Sector 86, Gurgaon",₹2.59 Cr,,4.0,,4 BHK,2727.0,"2,727 sqft",,,,Ready To Move,,,,,"Beautiful 2,3,4 BHK apartments in Sector 86, are now available in DLF New Town Heights 2 housing project. Apartments in this complex are available in price range of Rs. 1.8 - 2.59 Cr. DLF New Town Heights 2 apartments are available in multiples sizes, ranging from 1,305 - 2,727 sqft SUPER area. The apartments here are Ready To Move",,,Nearby : Bharat Ram Global School Canara Bank ATM
380,Project,"2, 3, 4 BHK Flat in Sector 37D, Gurgaon","2, 3, 4 BHK Flat in Sector 37D, Gurgaon",₹1.95 Cr,,4.0,,4 BHK,2390.0,"2,390 sqft",,,,,,,,,"Here are beautifully built 2,3,4 BHK apartments in Sector 37D, available for sale at Ramprastha The Edge Towers. Ramprastha The Edge Towers 's RERA registration number is 279 OF 2017 DATED 09.10.2017. This society offers apartments in the price range of Rs. 1.15 - 1.95 Cr. Here units have different sizes, mostly in range of 1,310 - 2,390 sqft SUPER area",,,Nearby : Dwarka Expressway Euro International School
381,Project,"3, 4 BHK Flat in Sector 69, Gurgaon","3, 4 BHK Flat in Sector 69, Gurgaon",₹9.27 Cr,,3.0,,3 BHK,4936.0,"4,936 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 69 available for sale in Trump Residences Gurgaon. Apartments in this complex are available in price range of Rs. 9.27 - 14.81 Cr. This society is RERA approved and GGM/925/657/2025/28 DATED 13.03.2025 is the RERA number. Here units have different sizes, mostly in range of 3,091 - 4,936 sqft SUPER area",,,Nearby : DPS International Park Hospital
383,Project,"4, 5 BHK Flat in Sector 42, Gurgaon","4, 5 BHK Flat in Sector 42, Gurgaon",₹34 Cr,,4.0,,4 BHK,9600.0,"9,600 sqft",,,,Ready To Move,,,,,"DLF The Aralias society now offers elegantly built 4,5 BHK apartments in Sector 42. This society offers apartments in the price range of Rs. 34 Cr. Apartments in DLF The Aralias have SUPER area ranging between 5,575 - 9,600 sqft. The property options in this society are Ready To Move",,,Nearby : DLF Linear Park Shiv Nadar School
388,Project,"3, 4 BHK Flat in Sector 69, Gurgaon","3, 4 BHK Flat in Sector 69, Gurgaon",₹6.96 Cr,,4.0,,4 BHK,3270.0,"3,270 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4 BHK apartments in Sector 69, now available in Smartworld Sky Arc. This society is RERA approved and GGM/878/610/2024/105DATED11.10.2024 is the RERA number. Here units have different sizes, mostly in range of 2,355 - 3,270 sqft SUPER area. This society offers apartments in the price range of Rs. 5.02 - 6.96 Cr",,,Nearby : Vatika Business Centre And Co Ashoka International School
389,Project,"2, 3, 4, 5 BHK Flat in Sector 66, Gurgaon","2, 3, 4, 5 BHK Flat in Sector 66, Gurgaon",₹2.45 Cr,,2.0,,2 BHK,5250.0,"5,250 sqft",,,,Ready To Move,,,,,"Emaar MGF The Palm Drive, one of the known housing societes in Gurgaon, brings classic yet modern 2,3,4,5 BHK apartments in Sector 66. Apartments in Emaar MGF The Palm Drive have SUPER area ranging between 1,125 - 5,250 sqft. Apartments in this complex are available in price range of Rs. 2.45 - 9.98 Cr. The property options in this society are Ready To Move",,,Nearby : Ashoka International School HUB 66 Mall
392,Project,"2, 3, 4, 5 BHK Flat in Sector 66, Gurgaon","2, 3, 4, 5 BHK Flat in Sector 66, Gurgaon",₹9.98 Cr,,5.0,,5 BHK,5250.0,"5,250 sqft",,,,Ready To Move,,,,,"Emaar MGF The Palm Drive, one of the known housing societes in Gurgaon, brings classic yet modern 2,3,4,5 BHK apartments in Sector 66. Apartments in Emaar MGF The Palm Drive have SUPER area ranging between 1,125 - 5,250 sqft. Apartments in this complex are available in price range of Rs. 2.45 - 9.98 Cr. The property options in this society are Ready To Move",,,Nearby : Ashoka International School HUB 66 Mall
394,Project,"2, 3 BHK Flat in Sector 70, Gurgaon","2, 3 BHK Flat in Sector 70, Gurgaon",₹1.65 Cr,,2.0,,2 BHK,1950.0,"1,950 sqft",,,,,,,,,"Here are beautifully built 2,3 BHK apartments in Sector 70, available for sale at Shree Vardhman Victoria. This society offers apartments in the price range of Rs. 1.65 - 2.35 Cr. The housing society is RERA-registered with 70 OF 2017 DATED 18-8-2017 registration number. Shree Vardhman Victoria has apartments in multiple configurations, in range of 1,300 - 1,950 sqft",,,Nearby : Golf Course Extn Road Sohna Road
395,Project,"2, 3 BHK Flat in Sector 70, Gurgaon","2, 3 BHK Flat in Sector 70, Gurgaon",₹2.35 Cr,,3.0,,3 BHK,1950.0,"1,950 sqft",,,,,,,,,"Here are beautifully built 2,3 BHK apartments in Sector 70, available for sale at Shree Vardhman Victoria. This society offers apartments in the price range of Rs. 1.65 - 2.35 Cr. The housing society is RERA-registered with 70 OF 2017 DATED 18-8-2017 registration number. Shree Vardhman Victoria has apartments in multiple configurations, in range of 1,300 - 1,950 sqft",,,Nearby : Golf Course Extn Road Sohna Road
397,Project,"2, 3, 4 BHK Flat in Sector 90, Gurgaon","2, 3, 4 BHK Flat in Sector 90, Gurgaon",₹1.78 Cr,,2.0,,2 BHK,2727.0,"2,727 sqft",,,,Ready To Move,,,,,"Here are beautifully built 2,3,4 BHK apartments in Sector 90, available for sale at DLF New Town Heights 1. DLF New Town Heights 1 apartments are available in multiples sizes, ranging from 1,615 - 2,727 sqft SUPER area. Prices of apartments in this project, vary between Rs. 1.78 - 3 Cr. Apartments at DLF New Town Heights 1 is currently Ready To Move",,,Nearby : Manish Gallexie 91 RHM Public School
400,Project,"4, 5 BHK Flat in Sector 77, Gurgaon","4, 5 BHK Flat in Sector 77, Gurgaon",₹9.35 Cr,,4.0,,4 BHK,4847.0,"4,847 sqft",,,North,,,,,,"Choose your dream home from the wide variety of 4,5 BHK apartments in Sector 77, available for sale in DLF Privana North. Apartments in this complex are available in price range of Rs. 9.35 - 25 Cr. DLF Privana North 's RERA registration number is GGM/954/686/2025/57 DATED 05.06.2025. Apartments in DLF Privana North have CARPET area ranging between 2,236 - 4,847 sqft",,,Nearby : AapnoGhar Amusement Park Delhi-Jaipur Expressway
401,Project,"4, 5 BHK Flat in Sector 77, Gurgaon","4, 5 BHK Flat in Sector 77, Gurgaon",₹25 Cr,,5.0,,5 BHK,4847.0,"4,847 sqft",,,North,,,,,,"Choose your dream home from the wide variety of 4,5 BHK apartments in Sector 77, available for sale in DLF Privana North. Apartments in this complex are available in price range of Rs. 9.35 - 25 Cr. DLF Privana North 's RERA registration number is GGM/954/686/2025/57 DATED 05.06.2025. Apartments in DLF Privana North have CARPET area ranging between 2,236 - 4,847 sqft",,,Nearby : AapnoGhar Amusement Park Delhi-Jaipur Expressway
404,Project,"3, 4 BHK Flat in Sector 111, Gurgaon","3, 4 BHK Flat in Sector 111, Gurgaon",₹13.75 Cr,,5.0,,5 BHK,,,,,,Ready To Move,,,,"Swimming Pool, Gym, Club House","Puri Diplomatic Greens brings you beautifully designed 3 BHK Apartment, 4 BHK Apartment and 5 BHK Villa in Sector 111. Puri Diplomatic Greens is a Ready To Move project. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. Property prices here start from Rs. 3.69 Cr",,,Nearby : Park Hospital Red Roses Public School
405,Project,"2, 3, 4 BHK Flat in Sector 92, Gurgaon","2, 3, 4 BHK Flat in Sector 92, Gurgaon",₹1.18 Cr,,2.0,,2 BHK,2226.0,"2,226 sqft",,,,,,,,,"Check out 2,3,4 BHK apartments in Sector 92, now available for sale at Sare Crescent Parc. Apartments in this complex are available in price range of Rs. 1.18 - 2.45 Cr. Sare Crescent Parc has apartments in multiple configurations, in range of 980 - 2,226 sqft. Sare Crescent Parc 's RERA registration number is 275 OF 2017 DATED 09.10.2017",,,Nearby : GD International School Silver Streak Multi Speciality Hospital
408,Project,"5 BHK Flat in Sector 102, Gurgaon","5 BHK Flat in Sector 102, Gurgaon",₹4.66 Cr,,5.0,,5 BHK,,,,,,Ready To Move,,,,"Swimming Pool, Gym, Club House","For Multiple: BPTP Amstoria offers beautifully designed 5 BHK Apartment, 3 BHK Independent Floor and 4 BHK Independent Floor in Sector 102, Gurgaon. BPTP Amstoria is a Ready To Move project. Property prices here start from Rs. 3.86 Cr. Swimming Pool, Gymnasium and Club House are some of the amenities offered here",,,Nearby : Dwarka Expressway Early Basket Grocery shop
414,Individual,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹2.3 Cr,"₹10,762 /sqft",4.0,4.0,4 BHK,2137.0,"2,137 sqft",Carpet,,,Ready To Move,,,,,"1. Very well furnished with wood work in living room, tv units, almirah and lofts 2. Modular kitchen with chimey, geyser and ro 3. Redone washrooms with tile work 4. Air conditioners installed in all rooms. This is your chance to a 4 bhk apartment / flat for sale in sare homes sector 92 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedr...",Sare Homes,Sare Homes,Gated Society Overlooking Park
415,Individual,"4 BHK Flat in Sector 113, Gurgaon","4 BHK Flat in Sector 113, Gurgaon",₹5 Cr,"₹18,796 /sqft",4.0,4.0,4 BHK,2660.0,"2,660 sqft",Super Built-up,10th floor,,Ready To Move,,3.0,,,"Looking for a 4 bhk jodi flat for sale in gurgaon? Buy this 4 bhk flat in la vida by tata housing that is situated in sector 113 gurgaon . Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2660 sq.Ft. This flat is situated on the 10th floor of these 14 floors tall residential building. This is a ready to move project and the proper...",La Vida by Tata Housing,La Vida by Tata Housing,
416,Individual,"4 BHK Flat in Sector 66, Gurgaon","4 BHK Flat in Sector 66, Gurgaon",₹7.3 Cr,"₹29,060 /sqft",4.0,3.0,4 BHK,2512.0,"2,512 sqft",Carpet,10th floor,,Under Construction,,,,"Swimming Pool, Gym","Located in smartworld the edition, sector 66, gurgaon, this under-Construction 4 bhk flat spans 2,512 sq.Ft. On the 10th floor of a 42-Story high-Rise. Featuring 4 bedrooms, 3 bathrooms, and access to a gym, swimming pool, and community center, it offers comfortable living with convenient connectivity to metro, schools, and shopping hubs. Available by 2029.",Smartworld The Edition,Smartworld The Edition,
417,Individual,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹5.3 Cr,"₹19,702 /sqft",3.0,3.0,3 BHK,2690.0,"2,690 sqft",Carpet,,North,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sector 69 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",Smartworld sky arc,Smartworld sky arc,North Facing Gated Society
418,Individual,"3 BHK Flat in Sector 1 Imt Manesar, Gurgaon","3 BHK Flat in Sector 1 Imt Manesar, Gurgaon",₹1.63 Cr,"₹9,020 /sqft",3.0,3.0,3 BHK,1807.0,"1,807 sqft",Super Built-up,8th floor,,Ready To Move,,,"Servant Room, Store Room",,"Exclusive 8th floor view: A 3-Side open unit offering the best vantage point in the society with panoramic, uninterrupted golf green views. Rare 5-Balcony configuration: Independent balconies for the living room, all 3 bedrooms, and the kitchen (Utility area), ensuring maximum light and cross-Ventilation. Full utility suite: 3 bedrooms + 1 dedicated store room + 1 servant room with separate ent...",MSL Apartments,MSL Apartments,Close to School Close to Market
419,Individual,"2 BHK Flat in Sector 65, Gurgaon","2 BHK Flat in Sector 65, Gurgaon",₹2.45 Cr,"₹18,041 /sqft",2.0,2.0,2 BHK,1358.0,"1,358 sqft",Super Built-up,,East,Ready To Move,,3.0,,,"The flat is facing the north-East direction. The flat is over 1358 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 14th level of a 48 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move. The marble flooring of this flat is beautifully designed and helps to give it a pleasing...",M3M Heights,M3M Heights,
420,Individual,"4 BHK Flat in Sector 69, Gurgaon","4 BHK Flat in Sector 69, Gurgaon",₹7.5 Cr,"₹22,935 /sqft",4.0,4.0,4 BHK,3270.0,"3,270 sqft",Built-up,31st floor,East,Under Construction,,3.0,,,"This 4 bhk flat is located in smart world sky arc, which houses some of the most spacious flats in sector 69 gurgaon. This residential flat is east-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a built up area of 3270 sq.Ft. This flat is situated on the 31st floor of this 45 floors tall residential building....",Smart World Sky Arc,Smart World Sky Arc,East Facing Close to Hospital
421,Individual,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹5.2 Cr,"₹20,392 /sqft",3.0,3.0,3 BHK,2550.0,"2,550 sqft",Built-up,,,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sector 69 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",Smartworld Sky Arc,Smartworld Sky Arc,
435,Project,"4 BHK Flat in Sector 65, Gurgaon","4 BHK Flat in Sector 65, Gurgaon",₹2.65 Cr,,3.0,,3 BHK,,,,,,,,,,"Swimming Pool, Gym, Club House","Check out 4 BHK Apartment, 2 BHK Independent Floor and 3 BHK Independent Floor in Emaar Emerald Hills, one of the best offerings in Sector 65. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. Prices here start from Rs. 2.65 Cr. The housing society is spread over an area of 140 acres",,,"Nearby : Pragyanam School CK Birla Hospital, Gurgaon"
439,Project,"2, 3, 4, 5 BHK Flat in Sector 85, Gurgaon","2, 3, 4, 5 BHK Flat in Sector 85, Gurgaon",₹2.9 Cr,,3.0,,3 BHK,4950.0,"4,950 sqft",,,,,,,,,"Beautiful 2,3,4,5 BHK apartments in Sector 85, are now available in SS The Leaf housing project. Apartment prices in this housing society vary in the range of Rs. 1.97 - 5.94 Cr. SS The Leaf has apartments in multiple configurations, in range of 1,640 - 4,950 sqft. This society is RERA approved and GGM/329/61/2019/23 DATED 01.05.2019 is the RERA number",,,Nearby : Genesis Hospital Delhi Public School
441,Project,"2, 3, 4, 5 BHK Flat in Sector 85, Gurgaon","2, 3, 4, 5 BHK Flat in Sector 85, Gurgaon",₹5.94 Cr,,5.0,,5 BHK,4950.0,"4,950 sqft",,,,,,,,,"Beautiful 2,3,4,5 BHK apartments in Sector 85, are now available in SS The Leaf housing project. Apartment prices in this housing society vary in the range of Rs. 1.97 - 5.94 Cr. SS The Leaf has apartments in multiple configurations, in range of 1,640 - 4,950 sqft. This society is RERA approved and GGM/329/61/2019/23 DATED 01.05.2019 is the RERA number",,,Nearby : Genesis Hospital Delhi Public School
442,Project,"3 BHK Flat in Gwal Pahari, Gurgaon","3 BHK Flat in Gwal Pahari, Gurgaon",₹75 L,,3.0,,3 BHK,1170.0,"1,170 sqft",,,,Under Construction,,,,,"HCS Nikunj society now offers elegantly built 3 BHK apartments in Gwal Pahari. HCS Nikunj apartments are available in multiples sizes, ranging from 1,170 sqft CARPET area. Apartments in this complex are available in price range of Rs. 75 L. Apartments are Under Construction in this project",,,Nearby : State Highway 137 DoubleTree by Hilton Hotel
444,Project,"3, 4 BHK Flat in Sector 102, Gurgaon","3, 4 BHK Flat in Sector 102, Gurgaon",₹1.9 Cr,,3.0,,3 BHK,3200.0,"3,200 sqft",,,,,,,,,"Beautiful 3,4 BHK apartments in Sector 102, are now available in Emaar Gurgaon Greens housing project. Apartments in Emaar Gurgaon Greens have SUPER area ranging between 1,650 - 3,200 sqft. Prices of apartments in this project, vary between Rs. 1.9 - 3.84 Cr. The housing society is RERA-registered with 36(A) OF 2017 DATED 05.12.2017 registration number",,,Nearby : JMS Marine Square Mall Vibrant Hospital
445,Project,"3, 4 BHK Flat in Sector 102, Gurgaon","3, 4 BHK Flat in Sector 102, Gurgaon",₹3.84 Cr,,4.0,,4 BHK,3200.0,"3,200 sqft",,,,,,,,,"Beautiful 3,4 BHK apartments in Sector 102, are now available in Emaar Gurgaon Greens housing project. Apartments in Emaar Gurgaon Greens have SUPER area ranging between 1,650 - 3,200 sqft. Prices of apartments in this project, vary between Rs. 1.9 - 3.84 Cr. The housing society is RERA-registered with 36(A) OF 2017 DATED 05.12.2017 registration number",,,Nearby : JMS Marine Square Mall Vibrant Hospital
450,Project,"3, 4 BHK Flat in Sector 77, Gurgaon","3, 4 BHK Flat in Sector 77, Gurgaon",₹3.78 Cr,,4.0,,4 BHK,2800.0,"2,800 sqft",,,,,,,,,"Beautiful 3,4 BHK apartments in Sector 77, are now available in Adore The Select Premia housing project. Adore The Select Premia 's RERA registration number is GGM/824/556/2024/51 DATED 13.05.2024. Here units have different sizes, mostly in range of 1,833 - 2,800 sqft SUPER area. Apartment prices in this housing society vary in the range of Rs. 2.47 - 3.78 Cr",,,"Nearby : GD Goenka School Gurugram University, Sector 87 Campus"
451,Project,"4, 5 BHK Flat in Sector 110, Gurgaon","4, 5 BHK Flat in Sector 110, Gurgaon",₹4.76 Cr,,4.0,,4 BHK,7500.0,"7,500 sqft",,,,,,,,,"Check out 4,5 BHK apartments in Sector 110, now available for sale at Indiabulls Enigma. This society offers apartments in the price range of Rs. 4.76 - 10.4 Cr. Here units have different sizes, mostly in range of 3,265 - 7,500 sqft SUPER area. Indiabulls Enigma 's RERA registration number is 351 OF 2017 DATED 20.11.2017",,,Nearby : Dwarka Expressway InfinityS Badminton Academy
453,Project,"3, 4, 5 BHK Flat in Sector 81, Gurgaon","3, 4, 5 BHK Flat in Sector 81, Gurgaon",₹3.56 Cr,,3.0,,3 BHK,7054.0,"7,054 sqft",,,,Ready To Move,,,,,"Choose your dream home from the wide variety of 3,4,5 BHK apartments in Sector 81, available for sale in Bestech Park View Grand Spa. Here units have different sizes, mostly in range of 2,660 - 7,054 sqft SUPER area. Apartments in this complex are available in price range of Rs. 3.56 - 9.44 Cr. The property options in this society are Ready To Move",,,Nearby : St. Xavier's High School Spectra Hospital
455,Project,"3, 4, 5 BHK Flat in Sector 81, Gurgaon","3, 4, 5 BHK Flat in Sector 81, Gurgaon",₹8.25 Cr,,5.0,,5 BHK,7054.0,"7,054 sqft",,,,Ready To Move,,,,,"Choose your dream home from the wide variety of 3,4,5 BHK apartments in Sector 81, available for sale in Bestech Park View Grand Spa. Here units have different sizes, mostly in range of 2,660 - 7,054 sqft SUPER area. Apartments in this complex are available in price range of Rs. 3.56 - 9.44 Cr. The property options in this society are Ready To Move",,,Nearby : St. Xavier's High School Spectra Hospital
458,Project,"3, 4 BHK Flat in Sector 54, Gurgaon","3, 4 BHK Flat in Sector 54, Gurgaon",₹10.5 Cr,,3.0,,3 BHK,4272.0,"4,272 sqft",,,,Ready To Move,,,,,"Choose your dream home from the wide variety of 3,4 BHK apartments in Sector 54, available for sale in DLF The Belaire. Apartments in this complex are available in price range of Rs. 10.5 - 17.94 Cr. DLF The Belaire has apartments in multiple configurations, in range of 2,500 - 4,272 sqft. The apartments here are Ready To Move",,,Nearby : Golf Course Road Ibis Hotel
460,Individual,"2 BHK Flat in Sector 65, Gurgaon","2 BHK Flat in Sector 65, Gurgaon",₹2.47 Cr,"₹19,627 /sqft",2.0,2.0,2 BHK,1261.0,"1,261 sqft",Super Built-up,37 floor,East,Ready To Move,,3.0,,,"The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1261 sq.Ft. The flat has a total of 37 floors and this property is situated on 18th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with marble flooring options. Moreover, this propert...",M3M Heights,M3M Heights,East Facing St. Xavier School within 500m
461,Individual,"4 BHK Flat in Sector 77, Gurgaon","4 BHK Flat in Sector 77, Gurgaon",₹2.95 Cr,"₹17,332 /sqft",4.0,4.0,4 BHK,1950.0,"1,950 sqft",Super Built-up,,,Ready To Move,,,,Parking,"Its a 4 bhk property youd love to live in. Its close to the clubhouse and its a park facing property, one of the best located properties in the society with views of the huge park from the drawing, 1 bedroom and the kitchen. The actual usable area is very large and the house is designed very well. We have two covered parking, one on the ground level and the other in the multilevel parking which...",Emaar MGF Palm Hills,Emaar MGF Palm Hills,
462,Individual,"4 BHK Flat in Sector 99, Gurgaon","4 BHK Flat in Sector 99, Gurgaon",₹3.2 Cr,"₹11,287 /sqft",4.0,5.0,4 BHK,2835.0,"2,835 sqft",Super Built-up,,,Under Construction,,4.0,,,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in assotech blith sector 99 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 5 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural...",Assotech Blith,Assotech Blith,
463,Individual,"3 BHK Flat in Sector 104, Gurgaon","3 BHK Flat in Sector 104, Gurgaon",₹9.7 Cr,"₹22,866 /sqft",3.0,3.0,3 BHK,4242.0,"4,242 sqft",Built-up,,North,Under Construction,,3.0,,,"This is your chance to a 3 bhk apartment / flat for sale in sector 104 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that...",Delphine Central Park Estates,Delphine Central Park Estates,North Facing Gated Society
464,Individual,"3 BHK Flat in Sector 37C, Gurgaon","3 BHK Flat in Sector 37C, Gurgaon",₹2.1 Cr,"₹7,603 /sqft",3.0,3.0,3 BHK,2762.0,"2,762 sqft",Carpet,20 floor,,Ready To Move,,3.0,,,"This residential flat is south-Facing direction. The flat occupies a carpet area of 2762 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the ground floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The floor of this flat is beautif...",ILD Greens,ILD Greens,Ground Floor
465,Individual,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹4.15 Cr,"₹20,028 /sqft",3.0,4.0,3 BHK,2072.0,"2,072 sqft",Super Built-up,,,Ready To Move,,,,,"Sobha city, an integrated township sprawling across 39 acres (1,57,827 sq m), is located near the dwarka expressway. This landmark address features 8.5 acres (34,398 sq m) of open park, 1-Acre resort-Style lakelet, a 90-Metre-Dia cricket ground, over 50 top-Notch amenities, and 2 clubhouses spread across 50,000 sq.",Sobha City,Sobha City,
466,Individual,"3 BHK Flat in Sector 66, Gurgaon","3 BHK Flat in Sector 66, Gurgaon",₹6.07 Cr,"₹20,000 /sqft",3.0,3.0,3 BHK,3035.0,"3,035 sqft",Super Built-up,,,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in smartworld the edition sector 66 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample...",Smartworld The Edition,Smartworld The Edition,
467,Individual,"4 BHK Flat in Sector 84, Gurgaon","4 BHK Flat in Sector 84, Gurgaon",₹3.25 Cr,"₹11,607 /sqft",4.0,4.0,4 BHK,2800.0,"2,800 sqft",Carpet,4th floor,,Ready To Move,,3.0,,,"Address:- Ss linden floors b-19, 4th floor sec 84/85 gurgaon. Constructed on a carpet area of 2800 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. The residential building has 4 floors in total and the flat for sale is located on the top floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The society is well eq...",SS Linden Floors,SS Linden Floors,Top Floor Newly Constructed
468,Individual,"3 BHK Flat in Sector 56, Gurgaon","3 BHK Flat in Sector 56, Gurgaon",₹2.5 Cr,"₹17,170 /sqft",3.0,3.0,3 BHK,1456.0,"1,456 sqft",Super Built-up,7 floor,North,Ready To Move,,3.0,,,"The flat is facing the north direction. Constructed on a super built up area of 1456 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 7 floors and this property is situated on 3rd floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The well built ceramic floori...",AWHO Devinder Vihar,AWHO Devinder Vihar,North Facing 56 metro within 500m
