,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location
1500,Individual,"4 BHK Flat in DLF Phase 2, Gurgaon","4 BHK Flat in DLF Phase 2, Gurgaon",₹4.51 Cr,"₹20,089 /sqft",4.0,4.0,4 BHK,2245.0,"2,245 sqft",Super Built-up,20 floor,,Ready To Move,,3.0,,,"This 4 bhk flat is located in dlf belvedere towers, which houses some of the most spacious flats in dlf phase 2, gurgaon. This property faces the east direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2245 sq.Ft. The flat has a total of 20 floors and this property is situated on 15th floor. An ...",DLF Belvedere Towers,DLF Belvedere Towers,
1501,Individual,"3 BHK Flat in Sector-33 Sohna, Gurgaon","3 BHK Flat in Sector-33 Sohna, Gurgaon",₹2.6 Cr,"₹12,183 /sqft",3.0,3.0,3 BHK,2134.0,"2,134 sqft",Super Built-up,,North,Ready To Move,,3.0,,,"Central park flower valley aqua front towers is one of the most popular destination for buying apartments/ flats in sector-33 sohna, gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This is a north-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2134 sq...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Gated Society
1502,Individual,"3 BHK Flat in Sector 67A, Gurgaon","3 BHK Flat in Sector 67A, Gurgaon",₹3.2 Cr,"₹16,666 /sqft",3.0,4.0,3 BHK,1920.0,"1,920 sqft",Super Built-up,3rd floor,,Ready To Move,,2.0,Servant Room,Power Backup,"Ireo the corridor- It is a ready to move in semifurnished flat located in ireo the corridors. Situated in a prominent locality, it is a 0-1 year old property, which is in its prime condition. The flat is on the 3rd floor of the building. Aesthetically designed, this property has 4 bathroom(s). The property also has 2 balcony(s) and servant room. The flat has a good view of the locality. The fla...",Ireo The Corridors,Ireo The Corridors,Full Power Backup Centrally Air Conditioned
1503,Individual,"3 BHK Flat in Sector 90, Gurgaon","3 BHK Flat in Sector 90, Gurgaon",₹2.08 Cr,"₹11,818 /sqft",3.0,3.0,3 BHK,1760.0,"1,760 sqft",Super Built-up,20th floor,East,Ready To Move,,3.0,,Garden,"Dlf regal gardens is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 90 gurgaon is your opportunity to be a part of this community. The flat is north-East-Facing. Constructed on a super built up area of 1760 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The property is located on the 20th floor of a 29 floors tall building. Thi...",DLF Regal Gardens,DLF Regal Gardens,
1504,Individual,"4 BHK Flat in Sector 56, Gurgaon","4 BHK Flat in Sector 56, Gurgaon",₹2.45 Cr,"₹14,848 /sqft",4.0,3.0,4 BHK,1900.0,"1,900 sqft",Super Built-up,3rd floor,,Ready To Move,,4.0,,,"4 bhk for sale | royal palm apartments, plot no.-6, sector-56, gurgaon Spacious and well-Maintained 4 bhk apartment located on the 3rd floor of a 9-Storeyed tower in royal palm apartments. Spread across a super built-Up area of approximately 1,900 sq. Ft. This east-Facing home of carpet area 1650 sq.Ft. Approximately offers abundant natural light and ventilation, featuring 4 balconies and 3 was...",Royal Palm Apartments,Royal Palm Apartments,
1505,Individual,"3 BHK Flat in Sector 103, Gurgaon","3 BHK Flat in Sector 103, Gurgaon",₹4.2 Cr,"₹21,571 /sqft",3.0,3.0,3 BHK,1947.0,"1,947 sqft",Built-up,,,Under Construction,,,,,"Luxury 3 bhk for sale in godrej vrikshya, sector 103 gurgaon high floor, central greens view, privacy assured with only 4 homes per floor. Located on the prime 75-Metre wide dwarka expressway, set amidst 3+ acres of central greens and world-Class amenities. 90,000 sq ft clubhouse, 800+ trees, lakelet, fountains, olympic-Length infinity pool. This home combines urban convenience with resort-Styl...",Godrej Vrikshya,Godrej Vrikshya,Gated Society Overlooking Park
1506,Individual,"2 BHK Flat in Heritage City, Gurgaon","2 BHK Flat in Heritage City, Gurgaon",₹2.95 Cr,"₹21,851 /sqft",2.0,2.0,2 BHK,1350.0,"1,350 sqft",Super Built-up,,,Ready To Move,,1.0,,,"Unitech heritage city is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in heritage city is your opportunity to be a part of this community. This property faces the north direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1350 sq.Ft. The property is located on th...",Unitech Heritage City,Unitech Heritage City,
1507,Individual,"3 BHK Flat in Sector 109, Gurgaon","3 BHK Flat in Sector 109, Gurgaon",₹2.2 Cr,"₹12,571 /sqft",3.0,3.0,3 BHK,1750.0,"1,750 sqft",Super Built-up,18th floor,North-East,Ready To Move,,3.0,,,"This property faces the north-East direction. The flat occupies a super built up area of 1750 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The property is located on the 18th floor of a 27 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with vitrified flooring options....",ATS Tourmaline,ATS Tourmaline,North-East Facing Gated Society
1508,Individual,"3 BHK Flat in Sector 109, Gurgaon","3 BHK Flat in Sector 109, Gurgaon",₹2.18 Cr,"₹12,457 /sqft",3.0,3.0,3 BHK,1750.0,"1,750 sqft",Super Built-up,20th floor,North-East,Ready To Move,,3.0,,,"This residential flat is north-East-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 1750 sq.Ft. This flat is situated on the 20th floor of this 27 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession ...",ATS Tourmaline,ATS Tourmaline,North-East Facing Gated Society
1509,Individual,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.55 Cr,"₹12,592 /sqft",3.0,4.0,3 BHK,2025.0,"2,025 sqft",Super Built-up,,North-East,Ready To Move,,,,Garden,,Emaar Imperial Gardens,Emaar Imperial Gardens,North-East Facing Gated Society
