property_id,property_name,rating,price,area,area_with_type,configuration,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,society,address,nearby_location,link
srp_tuple_description,N/A,N/A,N/A,3810,"3,810 sqft",4 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Smartworld Residences by ELIE SAAB society now offers elegantly built 1,2,3,4 BHK apartments in Sector 98. Prices of apartments in this project, vary between Rs. 1.88 - 11.43 Cr. Apartments in Smartwo",N/A,N/A,N/A,N/A
,"2, 3, 4 BHK Apartment in Sector 151, Noida",N/A,"2 BHK Apartment
₹1.81 - 2.1 Cr",2107,"2,107 sqft",4 BHK,N/A,N/A,New,N/A,N/A,N/A,N/A,"Spacious 2,3,4 BHK apartments in Sector 151 are available for sale.Check out latest property options at Experion Saatori housing society. Experion Saatori 's RERA registration number is UPRERAPRJ74762","New Launch · Completion in Dec, 2030
Experion Saatori
NEW BOOKING
2, 3, 4 BHK Apartment in Sector 151, Noida
2 BHK Apartment
₹1.81 - 2.1 Cr
3 BHK Apartment
₹2.22 - 2.8 Cr
4 BHK Apartment
₹3.37 Cr
Nearby :
Sparsh International School
Amity University, Greater Noida
+3

Spacious 2,3,4 BHK apartments in Sector 151 are available for sale.Check out latest property options at Experion Saatori housing society. Experion Saatori 's RERA registration number is UPRERAPRJ747628/01/2026. Here units have different sizes, mostly in range of 1,130 - 2,107 sqft CARPET area. Prices of apartments in this project, vary between Rs. 1.81 - 3.37 Cr",N/A,"Nearby :
Sparsh International School
Amity University, Greater Noida
+3",https://www.99acres.com/experion-saatori-sector-151-noida-npxid-r441219
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Sparsh International School
Amity University, Greater Noida
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,2107,"2,107 sqft",4 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Spacious 2,3,4 BHK apartments in Sector 151 are available for sale.Check out latest property options at Experion Saatori housing society. Experion Saatori 's RERA registration number is UPRERAPRJ74762",N/A,N/A,N/A,N/A
,"2, 3, 4 BHK Apartment in Sector 107, Noida",N/A,"2 BHK Apartment
₹64.3 - 68.06 L",2295,"2,295 sqft",4 BHK,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,"Check out 2,3,4 BHK apartments in Sector 107, now available for sale at Arena The Ultima Heights. Arena The Ultima Heights has apartments in multiple configurations, in range of 1,055 - 2,295 sqft. Pr","Under Construction · Completion in Dec, 2025
1/13
Arena The Ultima Heights
NEW BOOKING
2, 3, 4 BHK Apartment in Sector 107, Noida
2 BHK Apartment
₹64.3 - 68.06 L
3 BHK Apartment
₹85.03 L - 1.09 Cr
4 BHK Apartment
₹1.4 Cr
Nearby :
Pathways School
Metro Station Noida Sector 76
+3

Check out 2,3,4 BHK apartments in Sector 107, now available for sale at Arena The Ultima Heights. Arena The Ultima Heights has apartments in multiple configurations, in range of 1,055 - 2,295 sqft. Prices of apartments in this project, vary between Rs. 64.3 L - 1.4 Cr. The property options in this society are Under Construction",N/A,"Nearby :
Pathways School
Metro Station Noida Sector 76
+3",https://www.99acres.com/arena-the-ultima-heights-sector-107-noida-npxid-r432599
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Pathways School
Metro Station Noida Sector 76
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,2295,"2,295 sqft",4 BHK,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,"Check out 2,3,4 BHK apartments in Sector 107, now available for sale at Arena The Ultima Heights. Arena The Ultima Heights has apartments in multiple configurations, in range of 1,055 - 2,295 sqft. Pr",N/A,N/A,N/A,N/A
,"3, 4 BHK Apartment in Sector 128, Noida",N/A,"3 BHK Apartment
₹6.24 - 6.68 Cr",2501,"2,501 sqft",4 BHK,N/A,N/A,New,N/A,N/A,N/A,N/A,"Check out 3,4 BHK apartments in Sector 128, now available for sale at L&T Green Reserve. Apartment prices in this housing society vary in the range of Rs. 6.24 - 7.82 Cr. The housing society is RERA-r","New Launch · Completion in May, 2028
1/4
L&T Green Reserve
NEW BOOKING
3, 4 BHK Apartment in Sector 128, Noida
3 BHK Apartment
₹6.24 - 6.68 Cr
4 BHK Apartment
₹7.82 Cr
Nearby :
Mall Of Noida
Noida Greater Expressway
+3

Check out 3,4 BHK apartments in Sector 128, now available for sale at L&T Green Reserve. Apartment prices in this housing society vary in the range of Rs. 6.24 - 7.82 Cr. The housing society is RERA-registered with UPRERAPRJ459796/09/2025 registration number. Here units have different sizes, mostly in range of 2,004 - 2,501 sqft CARPET area",N/A,"Nearby :
Mall Of Noida
Noida Greater Expressway
+3",https://www.99acres.com/l-t-green-reserve-sector-128-noida-npxid-r450425
srp_tuple_description,N/A,N/A,N/A,2501,"2,501 sqft",4 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Check out 3,4 BHK apartments in Sector 128, now available for sale at L&T Green Reserve. Apartment prices in this housing society vary in the range of Rs. 6.24 - 7.82 Cr. The housing society is RERA-r",N/A,N/A,N/A,N/A
,"3 BHK Apartment in Sector 143B, Noida",N/A,"3 BHK Apartment
₹2.75 Cr",1451,"1,451 sqft",3 BHK,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,"Choose your dream home from the wide variety of 3 BHK apartments in Sector 143B, available for sale in SKA Orion. The housing society is RERA-registered with UPRERAPRJ186008 registration number. This ","Under Construction · Completion in Mar, 2026
1/5
SKA Orion
NEW BOOKING
3 BHK Apartment in Sector 143B, Noida
3 BHK Apartment
₹2.75 Cr
Nearby :
Noida Sector 142 Metro Station
Embassy Oxygen ( MetLife )
+3

Choose your dream home from the wide variety of 3 BHK apartments in Sector 143B, available for sale in SKA Orion. The housing society is RERA-registered with UPRERAPRJ186008 registration number. This society offers apartments in the price range of Rs. 2.75 Cr. SKA Orion apartments are available in multiples sizes, ranging from 1,451 sqft CARPET area",N/A,"Nearby :
Noida Sector 142 Metro Station
Embassy Oxygen ( MetLife )
+3",https://www.99acres.com/ska-orion-sector-143b-noida-npxid-r375353
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Noida Sector 142 Metro Station
Embassy Oxygen ( MetLife )
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,1451,"1,451 sqft",3 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Choose your dream home from the wide variety of 3 BHK apartments in Sector 143B, available for sale in SKA Orion. The housing society is RERA-registered with UPRERAPRJ186008 registration number. This ",N/A,N/A,N/A,N/A
,"3, 4, 5 BHK Apartment in Sector 97, Noida",N/A,"3 BHK Apartment
₹7.5 Cr",3463,"3,463 sqft",5 BHK,N/A,N/A,New,N/A,N/A,N/A,N/A,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 97, now available in M3M Jacob And Co Residences. Apartment prices in this housing society vary in the range of Rs. 7.5 - 20.77 Cr. ","New Launch · Completion in Jul, 2030
1/4
M3M Jacob And Co Residences
NEW BOOKING
3, 4, 5 BHK Apartment in Sector 97, Noida
3 BHK Apartment
₹7.5 Cr
4 BHK Apartment
₹10.84 - 11.37 Cr
5 BHK Apartment
₹19.1 - 20.77 Cr
Nearby :
Mall Of Noida
Noida Expressway
+3

Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 97, now available in M3M Jacob And Co Residences. Apartment prices in this housing society vary in the range of Rs. 7.5 - 20.77 Cr. M3M Jacob And Co Residences apartments are available in multiples sizes, ranging from 1,228 - 3,463 sqft CARPET area. M3M Jacob And Co Residences is a RERA- registered society and UPRERAPRJ690055/10/2025 is the RERA registration number",N/A,"Nearby :
Mall Of Noida
Noida Expressway
+3",https://www.99acres.com/m3m-jacob-and-co-residences-sector-97-noida-npxid-r450099
srp_tuple_description,N/A,N/A,N/A,3463,"3,463 sqft",5 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 97, now available in M3M Jacob And Co Residences. Apartment prices in this housing society vary in the range of Rs. 7.5 - 20.77 Cr. ",N/A,N/A,N/A,N/A
,"4, 5 BHK Apartment in Sector 151, Noida",N/A,"4 BHK Apartment
₹5.98 Cr",5448,"5,448 sqft",5 BHK,N/A,N/A,New,N/A,N/A,N/A,N/A,"Check out 4,5 BHK apartments in Sector 151, now available for sale at Clove County. Clove County 's RERA registration number is UPRERAPRJ696539/11/2025. Apartment prices in this housing society vary i","New Launch · Completion in Oct, 2030
Clove County
NEW BOOKING
4, 5 BHK Apartment in Sector 151, Noida
4 BHK Apartment
₹5.98 Cr
5 BHK Apartment
₹8.17 - 9.81 Cr
Nearby :
Sparsh International School
Gautam Buddha University
+3

Check out 4,5 BHK apartments in Sector 151, now available for sale at Clove County. Clove County 's RERA registration number is UPRERAPRJ696539/11/2025. Apartment prices in this housing society vary in the range of Rs. 5.98 - 9.81 Cr. Here units have different sizes, mostly in range of 3,323 - 5,448 sqft CARPET area",N/A,"Nearby :
Sparsh International School
Gautam Buddha University
+3",https://www.99acres.com/clove-county-sector-151-noida-npxid-r441220
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Sparsh International School
Gautam Buddha University
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,5448,"5,448 sqft",5 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Check out 4,5 BHK apartments in Sector 151, now available for sale at Clove County. Clove County 's RERA registration number is UPRERAPRJ696539/11/2025. Apartment prices in this housing society vary i",N/A,N/A,N/A,N/A
,"4, 5 BHK Apartment in Sector 128, Noida",N/A,"4 BHK Apartment
₹11.35 - 13.82 Cr",6827,"6,827 sqft",5 BHK,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,"Max Estates 128 society now offers elegantly built 4,5 BHK apartments in Sector 128. Apartments in this complex are available in price range of Rs. 11.35 - 32.77 Cr. Max Estates 128 has apartments in ","Under Construction · Completion in May, 2028
1/9
Max Estates 128
NEW BOOKING
4, 5 BHK Apartment in Sector 128, Noida
4 BHK Apartment
₹11.35 - 13.82 Cr
5 BHK Apartment
₹27.79 - 32.77 Cr
Nearby :
Axis House Business Park
Noida- Greater Noida Expressway
+3

Max Estates 128 society now offers elegantly built 4,5 BHK apartments in Sector 128. Apartments in this complex are available in price range of Rs. 11.35 - 32.77 Cr. Max Estates 128 has apartments in multiple configurations, in range of 2,364 - 6,827 sqft. Max Estates 128 is a RERA- registered society and UPRERAPRJ446459 is the RERA registration number",N/A,"Nearby :
Axis House Business Park
Noida- Greater Noida Expressway
+3",https://www.99acres.com/max-estates-128-sector-128-noida-npxid-r410958
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Axis House Business Park
Noida- Greater Noida Expressway
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,6827,"6,827 sqft",5 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Max Estates 128 society now offers elegantly built 4,5 BHK apartments in Sector 128. Apartments in this complex are available in price range of Rs. 11.35 - 32.77 Cr. Max Estates 128 has apartments in ",N/A,N/A,N/A,N/A
,"2, 3, 4, 5 BHK Apartment in Sector 43, Noida",N/A,"2 BHK Apartment
₹1.22 - 2.1 Cr",3754,"3,754 sqft",5 BHK,N/A,N/A,Ready to move,N/A,N/A,N/A,Garden,"Spacious 2,3,4,5 BHK apartments in Sector 43 are available for sale.Check out latest property options at Godrej Woods housing society. Godrej Woods 's RERA registration number is UPRERAPRJ704730. This","Partially Ready To Move · Completion in Jan, 2027
1/7
Godrej Woods
NEW BOOKING
2, 3, 4, 5 BHK Apartment in Sector 43, Noida
2 BHK Apartment
₹1.22 - 2.1 Cr
3 BHK Apartment
₹1.75 - 5.13 Cr
4 BHK Apartment
₹2.55 - 6.72 Cr
5 BHK Apartment
₹5.3 - 7.51 Cr
Nearby :
Ryan International School, Sector 39
Botanical Garden Metro Station
+3

Spacious 2,3,4,5 BHK apartments in Sector 43 are available for sale.Check out latest property options at Godrej Woods housing society. Godrej Woods 's RERA registration number is UPRERAPRJ704730. This society offers apartments in the price range of Rs. 1.22 - 7.51 Cr. Godrej Woods apartments are available in multiples sizes, ranging from 612 - 3,754 sqft CARPET area",N/A,"Nearby :
Ryan International School, Sector 39
Botanical Garden Metro Station
+3",https://www.99acres.com/godrej-woods-sector-43-noida-npxid-r374312
tuple_srp_11_null,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garden,N/A,N/A,N/A,"Nearby :
Ryan International School, Sector 39
Botanical Garden Metro Station
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garden,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garden,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,3754,"3,754 sqft",5 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Spacious 2,3,4,5 BHK apartments in Sector 43 are available for sale.Check out latest property options at Godrej Woods housing society. Godrej Woods 's RERA registration number is UPRERAPRJ704730. This",N/A,N/A,N/A,N/A
,"1 RK Studio Apartment in Sector 72, Noida",N/A,"1 RK Studio Apartment
₹1.3 - 1.81 Cr",1205,"1,205 sqft",N/A,N/A,N/A,Under Construction,N/A,N/A,N/A,Club House,"M3M The Line possession will begin from Jul, 2028. Properties in M3M The Line are sized in the range of 865 - 1,205 sqft. Prices here start from Rs. 1.3 Cr. Club House, Shopping Centre and Restaurant ","Under Construction · Completion in Jul, 2028
1/3
M3M The Line
NEW BOOKING
1 RK Studio Apartment in Sector 72, Noida
1 RK Studio Apartment
₹1.3 - 1.81 Cr
Nearby :
Sapphire International School
Amity University Noida
+3

M3M The Line possession will begin from Jul, 2028. Properties in M3M The Line are sized in the range of 865 - 1,205 sqft. Prices here start from Rs. 1.3 Cr. Club House, Shopping Centre and Restaurant are some of the amenities offered here",N/A,"Nearby :
Sapphire International School
Amity University Noida
+3",https://www.99acres.com/m3m-the-line-sector-72-noida-npxid-r421711
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
Sapphire International School
Amity University Noida
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,1205,"1,205 sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Club House,"M3M The Line possession will begin from Jul, 2028. Properties in M3M The Line are sized in the range of 865 - 1,205 sqft. Prices here start from Rs. 1.3 Cr. Club House, Shopping Centre and Restaurant ",N/A,N/A,N/A,N/A
